stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.87,1.93,0,0,0,1.24,0,0,0,0,0,0.83,0,0,27.18,1.1,0,0,0,1.01,0,4.58,13.74,0,0,0,0.84
 24-34,0,0,2.25,0,0,1.54,1.37,0,0,0,0,7.83,0,1.45,160.37,2.14,0,0,0.82,0,0.63,0,38.89,0,6.53,0,1.72
 36-46,0,0,16.41,0,0,4.05,0,0,0,0,0,11.27,0,1.51,211.09,0,0,0,0,0,0,0,41.77,0,1.33,0,1.86
 48-58,0,0,44.34,0.58,0,16.04,0,0,0,0,0,8.28,0,1.44,248.89,2.01,0,0,0,0,0,0,74.83,0,0,0,1.51
 60-70,0,0,122.11,0,0,44.16,0,0,0,2.88,0,15.37,0,1.4,240.64,0,0.83,0,0,0,0,0,43.71,0,3.47,0,6.15
 72-82,0.5,0,202.25,0,0.56,14.29,2.51,0,0,2.8,0,30.87,0.92,3.14,230.66,1.58,0,0,0,0,0,0,12.68,0,1.51,1.14,0
 84-94,1.22,0.73,128.37,0.67,0,11.94,2.23,2,0,0,0,27.36,10.4,1.97,242.11,8.48,0,0,0,0,0,0,23.44,1.86,14.7,0,3.76
 96-106,2.88,0,76.61,1.42,1.88,17.02,2.77,0.69,0,1.2,0,22.34,0,2.14,162.89,2.19,1.54,0,5.12,0,0,0,2.23,3.12,7.04,3.11,12.84
108-118,0.61,0,72.39,2.08,0,2.23,0,0,0.46,4.1,0,27.17,1.87,2.52,172.65,2.69,2.86,2.86,0.43,0,0,0,5.44,0,7.02,2.71,3.13
120,0,0,24.96,0,0,50.06,0,4.74,0,0,6.94,35.61,0,1.54,258.97,0,5.18,4.48,0,0,0,0,0,0,0,0,0
