stage,axial,blastomeres,eye,hatching.gland,neural,paraxial.mesoderm
  3-4,0,113.12,0,0,0,0
  5-6,14.53,109.89,0,0,0,0
  7-9,0,6.33,4.17,0,39.82,4.73
 10-12,0,0,3.97,6.66,37.98,0
