stage,blastomeres,epidermis,eye,glial,gut,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,taste,vasculature,xanthophores
  3-4,237.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
 10-12,4.15,0,0,0,0,0,0,0,0,19.34,0,7.73,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,5.88,0,0,1.45,0,0,0
 24-34,0,0,0.68,0,0,0,0,0,0,4.81,0,0,0.78,0,0,0
 36-46,0,0,1,0,0,0.98,0,0,0,7.66,0.63,0,0.92,0,0,0
 48-58,0,0,5.22,0,0,0.85,0,0,0,5.12,0,0,10.53,0,0,0
 60-70,0,0.7,5.03,4.37,0,7.3,0,0,0.68,11.2,0,0,7.27,0,0,0
 72-82,0,0,4.7,2.63,0,10.36,0,0,0,10.76,0,0,10.22,0,0.56,0
 84-94,0,0,0.64,0,0,13.65,0.62,0,0,20.74,0,0,0,0,0,0
 96-106,0,0,6.58,1.66,0.96,18.14,0,0,0,10.14,0,0,0,0,0,0
108-118,0,0,1.87,0,1.35,18.61,4.38,1.14,0,11.54,0.54,0,0,0.42,1.06,1.88
120,0,0,11.45,0,0,31.04,0,0,0,37.93,0,0,16.53,0,0,0
