stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,298.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0,0
  5-6,6.52,113.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96,3.33,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.09,0,0,0,0,0,1.79,0,0.87,0,0,0.81,0,0,0,0,2.01,0,0,0,7.38,0,0,0,0,0,0,1.26,0,0,3.31,9.24,0,0,0,0
 24-34,0,0,0,0,0.65,0,19.47,0,0,0,0,0,0.67,0,0,1.83,0,1.08,0,0,0,0,0,0,12.55,0,0,0,0,0,0.61,0,0,2.65,0,3.85,0,4.76,0,0
 36-46,0,0,0,0,2.4,0.76,58.57,0,0,0.71,0,0,0,0,0,0,2.15,0,0,1.52,4.73,0,0,4.02,23.84,0,0,0,0,0,1.76,0.9,1.05,0,0,9.74,0,2.67,0,0
 48-58,0,0,0,0,2.12,0,591.11,0,0,0,8.04,0.92,0,0,0,0.39,5.21,0.73,0,0,6.64,0.39,0,2.71,17.07,0,0,0.39,0,0,0,0,0,0,0,1.77,0,4.77,0,0
 60-70,0,0,0,0,2.8,0,3414.74,0,0,1.81,7.11,1.84,0,0.9,7.04,0,0,0,0,0,7.3,0,0,8,10.77,0,0,0,0,0,4.03,0,0,0,0,3.89,0,0,0,0
 72-82,0,0,0,0,6.7,0,3331.87,0,0,1.1,17.7,0,0.67,0,4.03,2.33,0,3.71,4.11,0.49,20.77,0,1.17,4.52,74.93,0,2.83,4.31,0,0,6.53,0,2,0,0,4.47,0,4.83,2.29,7.05
 84-94,0,0,0,0,11.82,0,3719,0.76,0.82,1.21,13.1,3.03,0,2.85,2.41,0.91,0,2.1,1.44,0,35.76,1.16,0.58,6.95,70.34,0,0,2.03,0,0,1.97,0,0,0,0,0,1.08,0.87,4.42,0
 96-106,0,0,0,0,11,0.6,2318.14,2.9,0,0,9.46,1,0,0,3.92,1.71,3.83,0,2.78,0,15.68,0,0,3.33,55.61,0,0,2.57,0,0,2.18,0,0,0.9,0,2.32,3.44,3.74,1.16,2.39
108-118,3.95,0,2.49,0,6.71,3.12,2126.14,0,2.7,1.81,6.36,0.69,0,0,3.3,5.56,2.62,2.85,1.95,0,30.51,0,0.51,1.31,78.67,0.41,1.33,2.66,0,1.49,5.05,0,0,0,0,0,0.96,1.05,1.42,7.37
120,0,0,0,0,23.18,0,1617.85,0,0,0,5.34,2.4,0,0,0,0,0,1.88,0,0,13.31,0,0,0,40.43,1.1,0,0,0,0,5.86,0,0,0,0,12.44,1.95,0,0,0
