stage,blastomeres,epidermis,eye,glial,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0
  5-6,26.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,25.27,0,0,0,0,0,0,0
 10-12,9.54,0,4.17,0,0,0,0,0,0,0,81.13,0,12.07,0,0,0,0,0
 14-21,0,1.94,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0
 24-34,0,0,0.68,0,0,0,0,1.22,0,0.72,0,0,0,0,0,0,0,0
 36-46,0,1.57,0,1.83,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,2.05,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,6.84,1.12,0,0,0,0,0.88,0,0,0,0,0,0,0,5.3,0
 72-82,0,0,17.39,0,0,0.72,0,1.38,0,0.55,0,0,0,0,0,0,1.91,0
 84-94,0,0,35.88,0.96,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0.82
 96-106,0,0,30.21,0,0,0,0,0,0.79,1.81,2.1,1.09,0,1.17,0,0,0,0
108-118,0,0,31.52,0,0.78,0,0,2.54,0,0,0,0,0,0,0,0,0,0
120,0,0,42.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
