stage,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pronephros,slow.muscle,spinal.cord,xanthophores
  5-6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.46,0,0,0,0,0,0,0,14.83,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.25,7.26,7.44,14.39,0,0,0
 14-21,0,0,0.93,0.96,0,0,0,0,2.12,2.16,0,0,0,1.03,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.66,0,0,1.77,0,0,0,0,1.36,0
 60-70,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0
 72-82,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.6,0,0,0,0.58,0,0,0,0,0,0,1.44
108-118,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
120,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0
