stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94,0,0,0,0,0,0,0,0,0,0
  7-9,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36,0,0,0,51.15,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.72,0,0,0,0,0,11.42,0,0,0,0
 14-21,0,0,0,0,0,0,0,16.49,0,0,0,0,0,3.02,0,17.66,0,3.33,8.39,0.87,0,41.13,0,53.7,0,0
 24-34,0,0,0,0,0,0,0,20.8,0,0,0,0.98,0,2.09,0,31.74,1.49,20.14,1.61,0,0,18.43,1.27,44.22,0,2.2
 36-46,0,0,0,0,0,0,0,6.17,0,0.93,0,0,0,0,0,57.73,0,26.83,0,0,0,6.27,0,27.77,0,0
 48-58,0,0,0,0,0,4.24,0.59,8.13,0,0,0,1.93,0,20.81,0,89.35,0,12.75,0,0,0,1.73,0,21.42,0.79,0
 60-70,0,0,0,0,0,4.87,0,29.77,0,0,0,0,0,2.79,0,119.74,0,10.49,0.63,0,0,0,0,15.95,0,0
 72-82,0,0,0,1.55,0,14.68,0,4.17,0,0,0,0.58,0,11.43,0,86.42,0,17.23,2.55,0,0,0.86,0,8.46,0,0
 84-94,0,0,0,0,0,11.22,0.91,3.39,0,0,0,0,0,1.81,0,56.46,0,31.54,2.01,0,1.4,3.59,0,8.48,2.4,0
 96-106,0,0,0,0,0,8.45,0,13.7,0,0,0,1.7,0,8.09,0.77,59.62,0,30.42,2.75,0,0,1.1,0,1.07,0,0
108-118,0,0.52,0.42,0,1.01,1.07,1.93,9.27,0.47,0,3.79,3.2,0.91,4.51,0,35.66,0,25.58,1.1,0,0,2.28,0,10.51,1.02,0
120,0,0,0,0,0,2.3,0,0,2.51,0,0,0,0,0,0,45.98,0,19.96,0,0,0,1.87,0,7.95,0,0
