stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.54,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.11,5.16,0,8.9,0,0,0,2.21,1.08,0,0,0.96,0,0,0,0,9.2,0,0,15.84,164.9,0.83,7.16,0,7.42,4.31,16.61,1.05,0,12.21,55.27,0,0,0.97,0,0
 24-34,0,2.42,9.03,0,0,24.77,0,0.62,0.78,1.44,0.63,0,0,1.57,0,0.77,0,0.62,37.43,0,0,15.03,369.43,0,1.7,1.43,0,3.61,0,0,0,2.15,90.55,0,0,17.38,0,5.48
 36-46,0,0,9.93,0,0,54.26,3.29,0,1.09,15.29,0,1.2,0,0,0,0.8,0,0,39.67,0,0.67,9.77,302.54,1.36,11.3,0.7,0,8.35,0,0,0,0,86.54,0,0,11.5,0,0
 48-58,0,0,14.36,0,0,84.14,0,2.63,1.47,18.58,0,0,0.47,5.07,0.51,2.04,0,8.85,40.34,0.52,0.74,14.7,229.61,1.08,1.18,7.84,0,2.56,0,0,0,0,36.07,0,0,2.76,0,0
 60-70,0,0,1.72,0,0,84.97,0,0,1.6,23.85,0,0,0.81,0,0,0,1.92,0,31.58,0,0,28.93,132.93,0,1.22,6.5,0,12.25,0,0,3.95,0,6.9,0,1.9,2.88,0,2.22
 72-82,0,0,2.09,0,0,81.63,0,0,2.83,24.86,0,0,4.1,0,0.65,1.31,0,0,62.06,0.95,2.95,6.23,112.12,0,0,3.14,0,4.5,0,0,0,0,22.49,1.03,1.49,3.74,1.9,1.3
 84-94,0,0,6.38,0,0,32.86,0,1.76,0,19.45,1.69,0.85,0,0,2.01,0,0,0,47.26,0,0,4.15,41.12,0,1.88,6.6,0,2.06,0,0.67,0,0,4.64,0.78,0,30.25,0.75,0
 96-106,0,0,7.57,4.65,0.8,47.85,0,0,0,29.61,2.92,0,0.74,0,0.75,1.42,0,0,59.93,0,0,9.73,92.83,0,0,3.4,0,2.82,0,0,0,0,5.39,0,0,9.7,1.98,0
108-118,0,0,6.42,0,0,46.43,0,0,3.77,15.49,1.42,1.42,3.43,0,0,0.69,0.48,0.55,59.36,0.77,9.68,5.35,98.46,1.37,1.05,3.2,0,1.05,0,0.42,0,0,4.16,1.87,0,5.19,2.72,4.93
120,0,0,8.04,1.3,0,12.82,0,0,1.47,35.27,0,2.27,0,0,1.17,0,0,0,17.19,1.65,0,5.46,148.26,0,0,0,0,4.14,0,0,0,0,10.59,0,4.12,0,0,0
