stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,53.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.66,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.55,0,0,0,0,0,0,0,0,0,0,0,16.37,0,0,0,18.77,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.62,0,0,0,0,0,0,2.99,1.43,6.62,0,0,0,0.97,0,0,0,67.32,0,0,0
 24-34,0,0,0.72,8.04,3.1,0,0,0,0,2.35,0,0,0.79,37.02,0,0,0,0,0,0.84,0,167.87,0,0,0
 36-46,0,0,0,2.68,0,0,0.89,0,0,9.58,0,1.4,0,45.43,0.84,0,0,0,0,1.15,0,145.35,0,0,0
 48-58,0,0,1.24,7.52,0,7.15,0,0,0,20.6,0,4.19,0,92.49,0.79,0,0,0,0,0,1.5,89,0,0,0
 60-70,0,0,0,33.11,0,0,0,0,0,2.79,0,4.95,0,35.2,0,1.22,0,0,0,0,0,47.41,0,0,0
 72-82,0,1.26,0.88,40.2,0,3.24,0,0,0,1.08,0,15.57,0,66.98,0,0,2.42,0,0,0,0,40.8,0,1.08,9.24
 84-94,0,1.77,0,40.68,0,8.55,0,1.22,0,0.58,2.36,19.07,0,13.86,0,0,1.81,0,0,0,0,19.36,0,0,4.81
 96-106,0,5.79,0,63.51,0,9.69,0,0,0.67,2.67,0.98,34.15,0,38.06,0,0,0.83,0,0,0,0,5.52,1.22,0,0
108-118,0,8.31,1.58,73.6,0.48,6.11,0,0,0,0,0,36.29,0,27.9,0,0,0.48,0,1.91,0,1.19,10.25,1.93,0.62,0
120,0,8.48,1.24,49.79,0,5.98,0,0,0,0,5.95,39.58,0,35.31,0,0,0,0,0,2.88,0,27.73,0,0,0
