stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0.82,0,0,0,0,15.11,0,0,17.38,42.32,0.83,0,0,0,0,0.98,1.06,4.1,10.73,0,0,0,0
 24-34,0,0,3.59,0,0,1.32,0,0,0,0,0,0,13.54,0,0,9.09,40.01,0,0,0,0,0,0,0,1.07,1.51,0,0,0,0
 36-46,0,0,0,0,0,0.73,0,0,0,0,0,0,31.71,0,0,7.58,66.89,0,1.22,0,0,1.93,0,0,0,10.81,0,0,0,0
 48-58,0.97,0,3.76,0,4.35,2.4,2.97,0,0.88,0,0,0,34.61,0,0,3.8,90.74,0,0,0,0,0,0,0,0,4.96,0,0.49,0,0
 60-70,0,0,7.07,0,0,2.94,0,0,0,0,0,0,55.66,0,1.73,2.86,88.17,0,0,0,1.19,2.4,0,0,0,4.04,0,0,0,0
 72-82,0,0,35.27,0,0,5.35,4.09,0,0,2.58,0,0,121.67,0.77,6.24,10.8,173.18,0,0,0,0,1.48,0,0,0,12.76,0,0,0.72,0
 84-94,0,0,50.38,0,0,8.18,11.96,1.12,0,0,1.6,0,64.41,0,0,5.61,196.86,0,0,0,0,3.93,0,0,0,5.12,0,0,3.29,0
 96-106,0.62,1.54,38.39,0,0,7.65,2.91,1.01,0,0,0,1.08,104.32,0,1.03,16.39,229.9,0,1.99,0,0,6.31,0,0,0,0,1.88,5.41,3.81,0
108-118,3.03,0,57.95,1.3,1.41,6.21,9.68,0,0,0,0.77,0,214.16,2.75,2.84,5,250.13,0.62,0,1.26,0,4.18,0,0,0,5.09,0.88,0,1.17,0.85
120,1.65,0,75.18,0,0,3.97,0,0,0,0,0,0,121.34,0,0,22.35,327.54,0,0,0,0,0,0,0,0,5.78,2.09,0,0,3.58
