stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,9.23,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.99,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.05,0,0,0,77.88,0,0,0,0,0,0,0,0
 10-12,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.12,0,0,0,66.8,5.07,0,0,0,0,0,0,0
 14-21,0,0,25.71,1.9,1.14,0,0,0,45.57,0,0,0,0,0,5.25,0,2.18,45.88,3.27,0,0,4.74,437.69,0.87,7.93,13.18,194.01,0,0.98,0
 24-34,0,0,1.38,0,6.89,0,0,0,50.07,0,0,0,0,0,3.75,1.31,0.61,141.52,0.64,0.73,0.84,0,282.81,0,10.26,3.36,144.43,0,12.53,0
 36-46,0,0,0.86,0,3.93,0,9.33,0,23.47,0,0,0,0,0,2.87,0.63,1.65,118.03,0,1.53,0,0,371.23,0,4.48,0,145.6,0,9.3,0
 48-58,0,0,0,0,3.43,0,0.52,0,38.26,0,0,0,0,0,1.44,0.43,0,65.02,0,3.08,0,0,79.9,0,1,0,174.07,0,0.39,0
 60-70,0,0,1.65,0,0.78,0.58,2.5,1.03,75.75,0,0,0,0,0,6.65,2.07,0,58.89,0,1.42,0,0,101.59,0,0,0,144.25,0,0,0.73
 72-82,0,0,1.39,0,5.41,0,1.43,5.41,85.12,1.27,0,0,0.9,0,2.89,0,0,22.61,0,1.32,3.74,0,44.97,0,2,0,43.06,0,3.81,0
 84-94,0,0,1.47,0,3.12,0,2.34,0,71.77,5.44,1.32,1.39,0,0,8.74,2.88,0.8,11.21,0,5.54,0,0,140.32,0,0.7,0,47.16,0,4.27,0.82
 96-106,0,0,0.6,0,3.69,0,2.4,0,53.73,8.18,1.63,0,0,0.97,7.58,0,0.67,42.88,0,3.62,2.05,0,79.21,0,1.71,0,26.14,1.22,5.26,0
108-118,0,0,0.45,0,3.78,0,3.36,0,67.4,0.66,0.79,0.53,6.28,0,8.79,0.91,1.77,20.58,0,6.01,2.53,0,71.24,0,0,0,21.87,0.99,0,0
120,0,0,16.59,0,0,0,0,0,74.85,14.77,0,1.63,1.05,0,1.85,0,5.24,22.19,0,7.6,0,0,40.48,0,0,0,15.54,0,9.88,5.66
