stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,66.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.28,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,52.19,0,0,0,10.64,0,3.3,0,0,0,0,0,0,0,0
 14-21,0,0,2.71,0.8,0,0,1.2,0,0,0,0,0,8.76,0,0,3.55,98.29,0.95,0,1.09,0,0,2.62,0,1.71,25.87,0,0,0,0,0
 24-34,0,0,4.17,8.38,0,1.61,9.03,1.67,0.6,0,0,0,30.92,0,0,17.79,338.14,0.92,0,3.95,0,0,8.47,1.1,0.69,58.69,0,0,3.32,0,0
 36-46,0,0,0,11.11,0,1.99,64.65,0,12.47,0,0,6.13,69.51,0,1.27,17.18,356.47,3.06,0,0.63,0,0,2.01,0,0,81.02,0,0,2.81,0,0
 48-58,0,0,4.85,10.87,4.38,1.99,106.45,0.54,7.09,0,0,0,54.64,0,4.65,13.1,151.48,0,0.48,5.87,0,0,1.19,0,0,101.35,0,0,0,0.78,0.93
 60-70,0,0,4.68,5.61,1.77,10.36,94.13,0,6.61,0,0,0,91.14,0,2.62,2.31,69.87,0.63,0,2.09,0,2.46,0,0,0,18.63,0,5.3,0,2.72,0
 72-82,0,0,0,8.07,0.56,2.14,70.21,0,14.92,0,0,0,108.19,0,2.75,7.91,27.94,0,0,5.27,0,0,1.21,0,0,3.66,0,3.53,0,4.82,0
 84-94,0,0,5.84,14.46,0,2.74,59.13,0,4.66,0,0.57,0,135.82,0,12.16,12.31,29.45,4.92,0,3.38,0,1.31,0,0,0,4.06,0,2.88,0,7.08,0
 96-106,0,0,1.74,2.63,0,5.99,37.1,0,4.93,0.74,0,0,78.28,0.68,11.89,5.4,14.87,1.25,0.68,2.84,0,4.27,0,0,0,1.99,1.68,2.11,0,8.18,0
108-118,0,0,2.49,13.59,0,9.02,46.03,0,7.33,0,0,0,154.17,0,12.48,6.75,27.72,4.17,0,5.72,0,12.61,0,0,0,3.99,0,5.04,0,0,0
120,0,0,6.76,12.06,5.35,16.48,115.63,0,17.73,0,6.57,0,122.86,0,10.93,3.16,45.84,0,0,8.38,0,0,0,0,0,0,0,7.71,0,0,0
