stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,230.2,3823.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.36,0,0,0,0,0,0
  5-6,95.48,1937.23,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,65.36,0,0,14.72,0,0,0,0,0,0
  7-9,0,10.65,12.92,0,0,18.3,0,0,0,0,3.85,0,0,0,0,0,0,0,200.68,0,49.73,0,5.74,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.04,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,1.86,0,0,10.23
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0.67,0,3.25,0,0,0,0,0,0,0,0,11.64
 36-46,0,0,0,1.11,0,0,0,0,0,0,0,6.26,0,0.74,1.5,0.58,0,0,1.99,0,0,0,0,0.67,0,0,0,0
 48-58,0,0,0,0,0,0.43,0,0,0,0,0,1.09,0,0,4.61,0,0,0,2.19,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.81,1.44,0,0,0,0,0,0,0,13.02,0,0,0,0,0,0,0,0,0,0,0.91,0,0
 72-82,0,0,0,0,0,0,0,0,0.6,0.51,0,0,0,0,0,0,0,0,2.33,1.38,0,0,0,0,0,0,0.49,2.11
 84-94,0,0,0,0,0,1.86,0,0,0,0,0,0,0.67,0,1.27,0,0.72,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.14,0,0,0,0,0,0,0.9,0,3.86,0,0.79,0,0,0,0,7.38,0,0,0,0,0,0.59
108-118,0,0,0,0.42,0,0,2.37,0.9,0,0,0,0,1.66,0,6.64,0.68,1.11,1.6,3.14,0,0,1.06,0,0,0,0,0,1.88
120,0,0,0,1.95,0,0,0,2.22,0,0,0,0,5.69,0,3.74,0,0,0,2.64,0,0,7.21,0,1.21,0,0,0,0
