stage,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural
 36-46,0,0,0,0,0,0,1.43
 48-58,2.57,0,0,0,0,2.83,0
 60-70,22.82,0.79,0,0,1.84,4.04,0
 72-82,26.47,0,0,0,0,0,0
 84-94,11.58,2.67,0,0.68,0,0.6,0
 96-106,3.82,0,1.65,0,0,1.59,0.82
108-118,25.02,0.54,0,0,0,0,0
120,21.98,0,0,0,0,0,0
