stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.63,1403.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.76,0,0,0,0,0,0,0,0,0
  5-6,53.62,542.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.64,0,0,0,8.94,0,10.17,0,0,0,0,0,0,0,0,0
  7-9,3.63,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,4.85,0,0,23.2,0,0,5.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.42,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0
 14-21,0,0,0,0,7.98,0,0,0.89,0,0,0,2.77,0,2.3,0,0,0,0,0,0,0,0,0,2.16,10.99,2.04,0,0,0,0,0,0,0,1.37,1.77,14.94,0,2.11,0,0
 24-34,0,0,0.84,0.59,2.13,0,0,4.75,0,0,0,3.95,0.64,0.69,0,2,0,0,0,0.77,3.79,0,0,1.67,82.77,1.02,7.1,0,0,0,9.7,0,0,0,0,24.05,0,11.23,0,0
 36-46,0,0,0,0,0.92,0,0,0.61,0,0,0,0.71,0,1.05,0,0,0,0.72,0,1.15,3.47,0,0,1.8,190.57,0,6.75,0.76,0,0,3.35,0,0,0,0,32.83,0,2.17,0,0
 48-58,0,0,0,0,0,0,0,16.67,0.67,0.55,0.57,9.38,0,0.71,1.02,0.49,0,0.59,0,0.51,10.47,0.45,0,0,269.05,3.58,2.08,0,0,0,3.89,0,0,0,0,42.47,0,3.07,0,11.86
 60-70,0,0,0,0,10.47,0,0,66.84,0.65,0,0,22.45,0,0.9,0.57,7.1,0.6,0,0,0,11,0,0,0,456.89,0,1.76,0,0,2.4,10.77,0,0.6,0,0,28.07,1.06,0,0,5.57
 72-82,0,0,0.53,0,1.94,5.24,0,86.38,0.71,0,0,13.75,1.67,1.44,0,0,0,0,2.73,0,35.53,0,0,2.39,479.71,0.5,0.49,2.16,0,0.72,0.52,0,0.53,0,0,17.97,1.04,1.59,4.2,1.24
 84-94,0,0,0.94,0,1.96,3.01,0,41.89,0,0.68,5.54,17.86,1.99,0,2.96,0,0,1.28,0.68,0,29.02,0,0.68,2.51,257.96,1.64,2.94,1.82,0,0,12.76,0,1.09,0,0,11.82,0,8.86,0,0.62
 96-106,0,0,0.89,0,9.25,3.74,0,55.64,0,0,0,7.57,2.88,0,3.4,0.74,0,0.71,0,0,13.53,0,0,0,319.27,0,1.72,2.56,0,0,3.34,0,0,0,0,10.12,0,2.55,2,3.65
108-118,0,0,1.68,0,3.78,0.43,2,35.58,0,0,0.6,24.71,0,0.43,1.03,0.85,1.74,1.41,0.9,0,18.22,1.13,1.11,0,264.99,0,4.17,2.69,0,4.92,2.32,0,0,0,0,17.38,0,0,1.81,0
120,0,0,0,0,5.7,0,0,17.11,0,1.11,0,3.21,1.2,7.29,1.75,4.99,0,0,0,0,43.05,0,0,5.39,432.72,0,0,2.38,0,0,8.27,0,1.2,0,0,0,0,3.06,0,0
