stage,blastomeres,eye,glial,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,30.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.29,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.56,0,0,0,0,0,0,12.44,0,0,0
 14-21,0,0,0,0,0,0,14.57,0,0,0,0.85,0
 24-34,0,2.73,0,0,0.61,0.72,5.5,0,0,1.58,3.27,0
 36-46,0,1.18,0.9,0,0,0,13.13,0,0,0.95,3.08,0
 48-58,0,2,0.82,0,4.58,0,8.84,0,0,0,0,0.66
 60-70,0,13.58,0,0,3.9,0,4.14,0,0,0.65,2.19,0
 72-82,0,5.18,4.51,0,3.64,0,0.91,0.51,0,0,0,0
 84-94,0,0,0,0,1.7,0,1.86,0,0,0,0,0
 96-106,0,5.85,0,0,1.64,0,7.88,0,0,0,0,0
108-118,0,1.38,0,0,0,0,0.45,0,0,0,0,0
120,0,0,0,6.25,0,0,0,0,0,0,0,0
