stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,98.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,84.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,5.64,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,74.32,0,0,0,23.91,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.67,3.99,0,0,4.21,0,3.1,0,0,0,0,0,0,0
 14-21,0,0,8.85,3.46,10.85,0,0,0,10.29,0,0,0,0,0.96,0,0,0,0,6.09,0,0,5.71,195.85,4.25,0,1.98,1.77,0,2.53,0,20.61,0,8.29,39.2,0,0
 24-34,0,0,4.92,0,21.68,0,0,0,2.34,0,0,0,0,0,0,0.7,2.05,0.98,18.17,0.81,2.43,11.79,228.06,0.95,2.59,2.07,0,0,0,0,0,0,1.76,42.42,0,6.94
 36-46,0,0,3.32,0,31.61,0,5.92,0,9.42,0,0,0,0,0,0,0,0,0,18.01,0,0,3.65,122.61,0,1.87,1.69,0,0,5.65,0,0,2.78,0,36.2,0,2.77
 48-58,0,0,2.25,0,48.93,0,0,0.67,14.98,0,0,0,0,0,0,0,0,0,13.31,0,1.03,2.91,92.84,0.79,0.5,0,0,0,6.53,0,0,0,0,18.6,0,0
 60-70,0,0,9.83,11.32,22.4,0.74,0,0,6.42,0.62,0,0,0,0,0,0.72,0,0,16.7,0,0,0,74.42,0,0,0,0,0,0,0,0,0.58,0,4.19,2.55,0.96
 72-82,0,0,5.26,0,48.71,0,4.8,1.18,21.57,0,0,0,0,0,0.93,0,0,0,22.36,0,0.63,3.03,60.81,1.13,0,1.09,0,0,0.51,0,0,0.73,0,10.21,0,0
 84-94,0,0,0.58,0,15.65,0,0.9,2.44,10.56,0,0,0.78,0.65,0.59,0.82,0.66,0,0,22.32,1.05,0,1.16,18.65,0,0.9,0,0,0.79,3.24,0,0,0,0,0.94,0,0.67
 96-106,0,0,0.78,0,15.33,0,0,0.85,2.85,1.19,0,0.73,0,0,0,0,0.7,0,7.74,0,0,1.43,37.12,0,3.23,0,0,0,2.19,1.35,0,0,0,3.09,0,0.71
108-118,0,0,5.02,0,20.82,0,0,0.94,4.42,0,0,0,1.18,0,0.44,0,0,0,20.03,0,0,3.78,77.42,0,2.44,0,0,0,3.61,0,0,0,0,1.81,0,5.82
120,0,0,2.13,1.46,2.89,0,0,0,12.88,0,0,0,0,0,0,0,0,0,10.33,0,0,3.32,46.56,0,0,0,0,0,0,0,0,0,0,4.57,0,5.97
