stage,axial,blastomeres,fin.mesenchyme,mesenchyme,neural,otic,pronephros,vasculature
  3-4,0,14.72,0,0,0,0,0,0
  5-6,6.06,0,0,0,0,0,0,0
  7-9,7.02,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.4,0,0,2.73
 48-58,0,0,0,0,0,0.46,0,0
 96-106,0,0,1.06,0.59,0.94,3.05,1,0
108-118,0,0,0,0,0,2.37,0,0
120,0,0,0,0,0,7.96,0,0
