stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,9.66,18.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.32,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.66,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,50.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,2.09,0,0,0,15.41,1.84,0,1.45,9.98,0,0,0,0.93,0,0,1.14,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,2.73,2.94,0,0,60.86,0,1.63,2.33,0,0,0,0,0,0,8.45,0,0,0.79,0
 36-46,0,0,0,0,0,0,0,15.01,0,0,1.05,0,0,0,0,4.17,0,1.75,115.74,0,1.49,0.58,0,0,0,0,0,0,15.84,0,0,0,0
 48-58,0,0,0.61,0,0,0,0,21.25,0,0.7,9.34,0,0.69,0,0,3.27,0,1.9,99.34,0,1.19,0,0,0,0,0,0.4,0,24.98,0,0,0,0
 60-70,0,0,0,0,3.24,0,0,16.89,0,0,2.2,0,0,0,4.33,6.2,0,0,60.45,0,0,0,0,0,0,0,0,8.52,15.86,0,0,0.67,0
 72-82,0,0,0,0,1.89,0,0,37.59,0,0.51,12.26,0.68,0,0,0,21.54,0.55,0.64,89.67,0,1.41,0,0,0.89,0.53,0,0,0,9.41,0.88,0,0,0
 84-94,0,0,0,0,0,0,0,25.01,0,1.18,3.12,0,0,1.25,6.32,6.38,0,0,43.37,0,0,0.61,0,0,0,0,0,0,26.7,0,1.98,0,0
 96-106,0,0,0,0,2.32,3.97,0,24.71,1.46,0,5.92,0,0.79,0,3.75,7.76,0,0,48.49,0,7.08,0,0,0,0,0,0,0,7.01,0,0,1.62,9.61
108-118,0,0,0,0,2.6,2.57,0.59,10.52,0,0,5.01,0,0,0,7.86,4.47,4.25,0.79,89.82,1.61,0,0,0,0,0,0,0,0,10.31,0,0,0.45,0
120,0,0,0,0,1.31,2.14,0,15.4,0,1.6,15.36,0,0,0,6.82,1.8,0,0,156.33,3.99,15,0,0,0,0,0,0,0,8.67,0,3.48,0,0
