stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.35,5.98,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.92,0,0,0,22.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.36,0,0,0.83,0,0,0,0,0,0,0.9,0.85,0,0,0,0,0,0,0.83,0,0,8.52,13.62,0,0,0,1.09,0,0,0,0,2.45,7.88,2.66,0,0,0,0
 24-34,0,0,0,0,0,0,4.56,0,0,0,4.11,0,0,0,0,0,0,0,1.46,0,0,0,100.3,0,0,0,0,0,0,0,0,0,2.14,33.75,0,0,0.98,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,1.5,0,0,1.51,346.02,0,0,0,0,0,0,0.81,0,0,0,67.63,0,0,0,0
 48-58,0,0,0,0.62,0.86,0,22.37,0,0,0,14.81,0,0,0,0,0,0,0,14.07,0,0,1.61,806.85,0,0,0,0,0.56,0,0,0,0,0,141.7,0,0,0,0
 60-70,0,0,0,4.5,0,0,90.54,0,8.85,0,42.94,0,0,0,0.85,0,0,0,18.35,0,0,0,1505.21,0,0,4.18,0,0,0,0,0,1.01,0,220.58,0,0,0,0
 72-82,0,1.08,2.99,4.76,0.55,0,142.43,0,0,0,45.67,0.56,0.89,0,2.68,1.53,0,1.45,25.25,0,0,1.71,1618.29,0,0,2.31,0,0.77,2.96,0,0,0,0,265.37,1.21,0.5,1.53,0
 84-94,0,0,0,7.92,0,0,139.99,1.21,0,0,22.82,1.71,0,0,0.85,0,1.67,0,12.87,0,0,4.74,1387.95,1.16,0.89,5.16,0,0,0,0,0,0,0,176.89,0.66,0,0.92,0
 96-106,0,1.17,0,10.58,0,0,105.47,0,0,1.24,24.42,0.7,0.58,0,0,0,0,0,29.15,0,1.38,1.38,1218.26,0,0,0,0,0,2.02,0,0,0,0,52.64,0,0,0,0
108-118,0,0,0,9.76,0,3.08,131.34,0,2.97,0,36.23,1.81,0,0.61,3.31,2.35,0,0,16.02,0.42,0,1.18,1216.44,1.45,0,3.73,0,0,7.14,0,0,0,0,60.98,0,1.68,1.85,2.52
120,0,3.99,0,19.39,0,0,151.37,2.29,4.2,0,30.48,0,1.85,0,0,1.77,0,0,13.28,0,0,0,1801.71,0,25.6,0,0,0,2.97,0,4.56,0,0,115.54,0,0,0,0
