stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0.9,0.83,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,14.44,0,0,0.77,2.58,0,0,0,0,0,0,1.1,0,0,0,0
 36-46,0,0,1.63,0,7.46,0,0,0,0,0,0,0,0,0,0,18.19,1.11,0,0,0,0,0,2.65,0,0,0,0
 48-58,0,0,3.34,0,3.37,0,0,0,0,0,0,15.73,0,0,0.52,8.54,0,0,0,0,0,0,3.14,0,0,0,0
 60-70,0,0,6.39,0,8.55,0,0,0,0,1.55,2.94,10.4,0,5.65,0,16.21,0,0,0,0,0,0,2.15,0,0,0,0
 72-82,0,0.49,63.56,0,15.31,0,1.91,0,0,0,0,31.48,2.94,0,0,35.96,1.23,0,0,0,0,0,11.38,0,0,0,0
 84-94,0,5.95,56.16,0,2.73,0,2.62,0,1.12,0,13.71,137.86,0,0,0,6.96,2.51,0,0,0,0,0,5.35,1.45,0.77,0,2.81
 96-106,0,3.44,69.55,0,25.01,0.96,3.38,1.7,0,0,4.74,178.26,11.4,0,0,32.67,0,0,0,2.07,0,0,2.6,5.33,0,3.23,0
108-118,0,5.33,40.08,1.2,17.75,0,4.71,0,0,0.78,4.4,390.61,2.59,0,0,33.39,0,0,11.22,2.23,0,0,0,4.35,0.57,1.54,0
120,0,4.12,48.11,0,36.82,0,0,0,0,0,12.65,240.55,13.34,0,0,35.71,0,0,5.9,0,0,0,0,18.74,0,6.89,0
