stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,10.32,65.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,161.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.33,5.55,19.58,0,0,40.81,0,5.13,0,0,366.35,59.63,0,0,0,0
 10-12,0,5.81,0,0,0,5.17,0,0,0,0,256.22,59.04,0,3.99,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,0,11.62,0,0,0,1.13,0
 24-34,0,0,0,0,0,0,0,0,0,0,8.59,0,1.17,0,1.6,0
 36-46,0,0,0,0,0,4.37,0,0,0,0,6.2,0,0,0,3.22,1.09
 48-58,0,0,0,0,0,0.57,0.38,0,0,0,3.62,0,0,0,0.46,0
 60-70,0,0,0,0,0,3.22,0,0,0,0,5.25,0,0,0,0,0
 72-82,0,0,0,0,0,2.44,0,0,0,0.64,3.75,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.57,0,1.72,0,0,0,0,0
 96-106,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,8.66,0,0,0,0,1.48,2.22,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0
