stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,0,192.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.66,286.75,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,6.69,7.68,0,0,0,0
  7-9,5.17,18.58,3.75,0,32.6,0,0,0,0,10.97,0,0,0,0,210.14,0,0,0,109.63,0,0,0,0,0
 10-12,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,119.22,16.82,0,0,22.86,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,2.53,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45,0,0,0
 36-46,0,0,0,0,2.23,0,0,0,0.59,0,0.62,0,0.76,0,4.32,0,0,0,0,0,85.72,1.39,2.48,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,0.45,0,5.3,0,0,0,0,0,20.11,0,0.65,1.49
 60-70,0,0,0,0,1.82,1.34,0,0,0,0,1.02,0,12.08,0,2.73,0,0,0,0,0,44.88,0,0,0
 72-82,0,0,0,0.96,8.4,0,0,0.79,0,0,3.17,0.83,0,0,6.95,0,0,0,0,0,36.78,0.77,0,0
 84-94,0,0,0,0,5.06,0,0,0.66,0,0,2.18,0,0.99,0,8.73,0,2.09,0,0,0,504.48,0,0,0
 96-106,0,0,0,3.97,23.44,0,0,4.34,0,0,26.15,0.6,0,0,7.47,0,20.2,0,0,0,152.14,0,0,0
108-118,0,0,0,1.87,5.87,0,1.31,0,36.62,0,45.26,2.08,0,0.77,10.89,0,12.38,0,0,0,343.19,0,0,0
120,0,0,0,1.35,0,0,0,8.35,0,0,71.44,0,0,0,0,55.4,0,6.93,0,0,369.46,0,0,3.65
