stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.35,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.24,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,10.14,10.17,0,0,6.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,1.87,0,0,0,0,0
 24-34,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1.75,1.62,0,0,21.26,0,0,0,0,10.36,0,4.95,0,0,0,0
 36-46,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,4.01,0.76,0,0,27.79,0,0,0,0,28.82,0,6.45,0,0,0,0
 48-58,0,0,0,0,0,15.04,0,0,0,1.65,0,0,0,0,0,10.37,1.38,0,0,79.9,0,0,0,0,4.97,0,13.11,0,0,0,0.42
 60-70,0,0,0,0,0,101.31,0,0,0,4.63,0.72,0,0,0,0,0,1.42,0,0,159.03,0,0,0,0,10.29,0,12.06,0,0,0,0
 72-82,0,0,0,4.18,0,208.8,0,0,0,3.99,0,3.11,0,0,0,0,9.18,1.89,0.78,216.73,0,0,0,0,4.7,0,4.89,0,0.9,0,2.27
 84-94,0,0,0,1.23,0,150.07,0,0,0,8.59,0,0,0,0.86,0,0,8.07,0,0,142.34,0,0,0,0,6.36,0,2.25,0,0.86,0.92,0
 96-106,0,0,0,3.58,0,230.99,1.02,0,0,7.31,0,0,0.88,0,0,0,6.93,0,0,115.23,0,0,1.07,0,0.8,0,4.33,0,0,0,3.58
108-118,0,0,0,1.18,0,274.89,0,0,1.3,3.36,0,0,0.44,0,0.69,3.29,4.29,0,0.55,129.39,0,1.12,0,0,2.04,0,0,0.68,0,0,0
120,0,0,0,0,0,297.26,0,22.7,0,23.02,0,0,0,5.09,0,0,19.63,0,0,116.48,0,0,0,0,0,0,0,0,0,0,0
