stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,236.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.03,0,0,0,0,0,0,0,0
  5-6,7.56,192.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,99.92,0,0,0,0,0,0,0,0
  7-9,4.89,6.93,0,0,0,30.81,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,139.4,0,0,0,45.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,18.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.43,0,0,0,31.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,199.38,0.81,3.36,0,0,0,0,0,0,3.93,0,0,0,0,5.43,0,0,0,78.89,0.95,0,4.03,0.84,21.2,0,0,0,4.73,3.27,0,0,0
 24-34,0,0,0,7.1,0,2.87,0,1.18,0,0,0,1.49,0,0,0,1.33,0,2.71,0,0,0,9.86,0,1.85,1.14,0,0,2.33,0,0,0,1.85,0,0,0
 36-46,0,0,0,0.73,1.89,1.49,0,1.83,0,0,0.57,0,0,0,0.66,0,0,0,0,0,1.02,30.89,0,7.72,0,0,0,0,0,0,0,2.54,0,0,0
 48-58,0,0,0,2.77,0,2.29,0,0,1.98,0,0,0,0,0,1.14,0,0,2.39,0,0,0.75,29.2,0,6.19,0,0,0,0,0,1.46,0,10.8,0,0.51,1.47
 60-70,0,0,0,2.41,0,24.96,0,0,0,0,0,2.13,0,0,0,0,0,3.27,0,0,0,43.16,0,11.62,0,0,1.25,0,0,0,0,4.62,0,0,0
 72-82,0,0,0.69,2.5,6.55,5.35,0,2.82,1.7,0.59,0,1.68,0.63,0,0,4.27,0,0.93,0,0,0,34.35,0,10.57,0,0,1.29,0,0,0,0,3.77,0,0,1.68
 84-94,0,0,0,6.74,2.33,6.86,0.78,4.78,1.45,0,0,5.15,0.89,0,1.27,0,0,0,0,0,1.68,14.93,0,27.55,0,0,8.46,0,0,0,0,1.9,0.9,2.04,0
 96-106,0,0,0,7.42,0,13.08,0,1.41,1.86,0,0,6.26,0.74,0,1,0,0,3.04,0,0,0.79,11.14,0,15.36,0,0,12.64,0,3.34,0,0,0,4.54,2.69,0.73
108-118,0,0,0.57,9.86,0,6.52,0.6,1.04,3.07,0,0,3.85,0.73,4.34,0.96,0.95,0.61,0.69,1.84,4.01,0,30.55,0,13.38,0,0,14.05,0,2.06,0,0,7.65,4.98,7.19,0.93
120,0,0,11.31,7.15,1.21,2.11,0,0,0,0,0,21.3,0,0,0,2.27,0,1.25,0,0,0,24.94,0,9.53,5.75,0,35.46,0,0,0,0,13.28,3.54,1.48,0
