stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.52,0,2.79,0,0,0,1.09,0,0.86,0,0,0,0,0,0,1.8,0,0,0,10.49,4.12,0,0,0,0,0,3.08,0,1.97,2.48,0,0,0,0,0
 24-34,0,0,0.87,0,1.46,0,1.06,0,1.87,0,0,0.76,0,0,0,0,0,6.37,0,0,3.71,27.38,0.8,0,1.91,0,0,4.64,0,0,2.41,7.03,0,0,1.04,0,2.2
 36-46,0,0,0.73,0,4.04,1.75,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.9,19.14,0,0,0,0,0,17.88,0,0,0,1.65,0,0,0,0,3.69
 48-58,0,0,0.54,0,10.35,0,0,0.84,3.87,0,0,5.13,0.38,0,0,0,0,4.69,0,0,1.88,29.27,0,0,0,0,0,3.78,0,0.65,0,1.58,0,0,0,0,0
 60-70,0,0,4.53,0,26.38,0,0,0,0,0,0,0,0,0,0,0,0,8.31,0,0,0,6.37,0,0,0,0,0,8.41,0,0,0,3.14,0,2.56,0,0,0
 72-82,0,0,3.95,0.83,11.11,0,0,0.95,8.97,4.4,0,0.58,0,0,0,0,2.82,17.2,0,0,0,22.86,0,0,0,0,0,0.51,0,0,0,1.21,0,0,4.1,3.65,2.57
 84-94,0,4.23,2.15,0.78,13.07,0,0,0,8.3,7.99,0,0,0.57,0,0,1.43,0,4.12,1.79,0,0,8.72,0,0,0,0,2.16,3.46,0,0,0,2.11,1.14,0,0,0.82,3.08
 96-106,0,0.83,2.71,1.02,8.84,0,0,0,8.73,3.98,0,0,1.72,0,0,0,9.49,10.96,0,2.98,0,14.93,0,3.13,0.72,0,0,7.04,0,0,0,2.02,0,1.03,4.04,0,0
108-118,0,0,3.05,0,7,0,0.43,0,15.88,10.29,0,0,8.03,0.65,4.91,0,0,7.48,0.53,0,0,5.56,0,0,0,0,0,2.11,0,0,0,4.66,0,0,0.5,0.66,0
120,0,0,10.92,0,11.21,0,0,0,17.79,15.89,0,0,1.47,0,0,0,0,15,0,2.61,1.59,25.16,0,0,0,0,17.57,5.07,0,0,0,0,0,1.46,4.26,3.21,0
