stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,12.34,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,544.13,38.67,0,0,878.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,80.1,0,344.32,0,11.94,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3731.08,118.65,0,0,3274.11,0,0,3.03,22.45,233.41,0,5.26,151.3,0,0,0,0,0
 14-21,0,0,73.2,134.2,19.93,0,3.9,0,0,0,254.24,32.33,0,0,0,0,0,1.36,0,193.83,0,176.48,707.17,36.24,0,0,145.19,0,3.41,0,477.63,3.08,3.39,190.15,3121.38,0,0,7.22,0,0
 24-34,0,0,9.62,9.33,1.07,0,17.18,0,0,0.76,136.73,1.69,0,0,0,0,0,5.32,1.64,110.09,1.21,58.66,840.81,3.77,0,0,0,0,2.79,0,1.1,0.71,0,16.93,2202.28,0,0,33.85,0,0
 36-46,0,0,0.56,9.36,0.64,0,24.04,3.65,0,3,143.53,4.16,0,2.51,0,0,0.94,10.89,0,130.32,3.69,27.99,2122.7,1,0,0,0,0,12.5,0,0,4.09,1.03,0,4251.29,0,0,10.87,0,8.73
 48-58,0,0,0,13.18,0,0,74.37,3.35,0,4.46,114.76,0,0.54,0.63,2.01,0,7.73,0,1.32,113.15,3.59,12.83,3777.15,5.31,0.95,0,0,0,2.78,0,0,0,0.57,0,2744.3,0,0,0.41,0.5,4.75
 60-70,0,0,0,4.1,0,0,70.62,0.8,0.9,0,130.84,5.7,0,0,0,0,0,0,17.96,99.97,14.28,12.53,3341.5,2.93,0,1.12,0,0,5.81,0,0,0,0,0,1228.98,0,9.73,0.58,1.48,1.36
 72-82,0,0,0,5.42,1.26,0,74.13,1.56,7.95,6.95,175.81,0,0,0,0,0,0,0,0,46.77,9.5,17.34,1334.19,1.18,1.18,0,0,3.6,0,0,0,0,0,0,553.95,1.21,4.19,1.39,1.68,13.36
 84-94,0,1.98,0,2.99,0,0,62.14,4.87,0,5.23,95.16,2.89,0,0,0,2.14,0.76,6.74,0,54.79,5.96,14.54,845.39,0.83,0,1.22,0,0,4.76,0,0,0,0,0,239.88,0,10.44,3.35,2.23,0
 96-106,0,0,0,1.71,0,0.71,21.27,3.23,0,0.75,78.24,3.62,0,0,4.65,0,0,0,0,40.97,13.23,8.6,422.83,0.81,0,0,0,3.62,0,0,0,0,0,0,95.39,0,5.78,6.31,1.52,1.19
108-118,0,0.79,0,5.82,0,0,7.65,0.9,3.56,0.71,51.15,0.43,0,0.47,0,0,0,0,0,61.67,5.95,4.82,557.25,0.56,1.69,0,0,2.86,0,0,0,0,0,0,138.11,0,2.13,5.07,5.52,0
120,0,0,0,10.41,0,0,24.81,0,0,0,91.87,5.2,0,0,0,0,0,0,0,13.27,3.28,12.15,587.59,0,0,0,0,9,3.56,0,0,0,0,0,135.96,0,6.87,0,7.01,0
