stage,epidermis,eye,fast_muscle,glial,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
 10-12,0,0,0,0,0,0,0,0,8.57,0,0,3.54,0
 14-21,0,0,0,0,0,0,0,0,1.7,0,0,0,2.86
 24-34,0,1.76,0,0,0,0,0,0,13.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,10.52,0,0,0,1.52
 48-58,0,0,0,0.99,0,1.95,0.47,0.48,13.91,0,0,0,4.33
 60-70,0,10.11,0,0,0,0,0,0,37.55,1.42,0,0,3.19
 72-82,0,9.49,0,3.05,0,0,1.29,0,82.52,0,0,0,1.69
 84-94,0,17.17,0,1.23,0,0,0,0,41.02,0,0,0,3.05
 96-106,0,15.56,0,2.91,0.75,0,0,0,56.93,0,0,0,4.23
108-118,0,14.29,0.42,0,0,0,0,0.71,84.66,1.3,1.5,0,13.84
120,2.4,34.15,0,0,0,0,0,4.59,102.3,0,0,0,0
