stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,22.99,965.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.19,0,0,0,0,0,0
  5-6,44.44,800.46,0,0,0,0,0,0,0,0,0,0,45.78,0,0,0,39.6,0,0,0,0,0,0
  7-9,16.4,22.34,26.63,0,0,51.77,0,35.49,0,0,0,0,625.18,41.85,0,157.15,0,0,0,0,0,0,0
 10-12,0,0,13.46,0,0,30.16,0,13.22,0,0,0,0,272.63,19.12,0,134.91,0,9.82,0,0,0,0,0
 14-21,0,0,0,3.67,1.69,0,0,0,0,0.83,0,0.9,37.16,1.61,0,1.46,11.37,0.9,2.37,2.94,8.1,0,0
 24-34,0,0,0,0.63,0,4.85,0,0,0.64,3.58,0,0,59.86,0,3.89,0,0,0,0,0.63,7.59,0,0
 36-46,0,0,0,0,1.27,10.78,0,0,0,1.89,0,1.21,36.66,0,0,0,0,0,0.86,0,2.68,0,1.59
 48-58,0,0,0,0,0.44,26.7,0.98,0,0,0.89,0,0,6.69,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,15.89,0,0,0,0,0,0.72,2.76,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.61,0,0,0,1.22,0,0,5.49,0,0,0,0.5,0,0,0,0,0,0
 84-94,0,0,0,0,3.27,1.89,0,0,0,0,0.8,0,2.92,0,0,0,0.6,0,0,0,0,0.96,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.76,0,2.63,0,0,0,1.03,0,0,0.57,0,0,0,0,0,0,0,0,0.66,0
120,0,0,0,0,0,0,0,0,0,1.43,0,0,10.91,0,0,0,0,0,0,0,0,0,0
