stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.31,5.12,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0,53.8,0,0,0,48.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.72,0,0,0,13.4,0,0,5.33,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.03,0,0,54.14,0,0,0,0,0,0,0,0,0,4.69,0,96.09,4.43,0,0,5.72,34.65,12.7,0,4.6,0,0,0,0,2.18,0,0,4.79,0,0,0,314.74
 24-34,0,0,1.2,7.01,0,0,38.87,0,2.7,0,0,0,0,0,0,0.99,4.29,0,130.81,15,0.7,0,10.15,84.42,0,1.68,10.96,0,0,6.79,0,47.08,0,0.63,17.29,0,5.81,0,1860.79
 36-46,1.07,0,0,3.7,0,0,33.7,0,1.05,0,8.1,0,0,1.32,0,1.67,0.94,0,145.3,4.81,0,0,2.27,74.94,4.71,0,10.73,0,0,3.77,0,23.99,0.7,0,5.23,0,16.07,0,2803.96
 48-58,0,0,0,18.58,0,0,78.35,0,4.38,3.19,12.06,0,0,0,0.67,0,26.84,0,188.29,14.33,0,0,3,95.78,0,0,12.92,0,0,0.38,0,14.7,0,0,8.79,0,5.99,0,3988.1
 60-70,0,0,0,4.98,6.64,0,83.57,0,1.46,0,12.15,0,0,0,0,0,0,0,86.17,10.83,0,0,1.53,56.59,0,0,12.69,0,0,3.16,0,5.68,0,0,15.3,0,0,0,3230.71
 72-82,0,0,0,12.78,4.84,0,147.97,0,0.79,0,43.65,4.4,0,0,0,0,1.5,0,96.5,16.07,0,0,0,44.82,0,0.63,21.43,0,0,2.5,0,44.09,0,0,1.76,0,1.25,0.72,2214.87
 84-94,0,0,0,8.45,0,0,172.25,0,0,0,3.6,2.78,0,0,0,1.92,25.01,1.05,80.87,5.51,6.26,1.48,2.29,22.92,0,0,9.11,0,0,5.52,0,81.31,0,0,2.81,3.4,0,1.53,1362.2
 96-106,0,0,0,9.04,0,0,166.1,0,8.82,0,7.31,1.59,0,0,1.21,0,2.34,0,29.02,9.62,0,3.47,4.53,23.05,0,0,18.15,0,0,5.57,0,91.53,0,0,1.22,0,10.25,0.58,1173.96
108-118,0,0,0,4.92,1.77,4.41,185.03,0.5,0.54,0,9.12,0.51,0,0,0.71,0,10.07,0,54.77,9.63,0,0,2.97,18.72,0,0,27.33,0,5.33,0,0,93.72,0,0,11.28,0,0,0,851.08
120,0,0,0,16.07,0,0,46.18,0,5.77,0,0,0,0,0,1.49,0,1.91,0,15.86,12.92,0,0,0,1.75,0,0,38.42,0,0,0,0,93.37,0,0,0,0,3.34,0,271.4
