stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.68,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0
 10-12,29.28,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.31,0,0,0,7.94,0,0,0,3.68,0,0,0,0,0,0
 14-21,0,0,3.8,3.31,0,0,1.11,0,0,0,0,0,0,0,0,0,0,7.66,0,4.36,0,0,3.55,34.75,2.21,0,0.99,0,0,0,1.28,0,17.3,0,0,0,0,0
 24-34,0,1.85,1.8,3.78,0,0,5.32,0,0,0,0.85,0,0,0,0,0,0,7.38,0,13.52,0,0,4.49,256.17,12.3,12.68,4.23,0,0,2.57,0,0,75.39,0,0,0.84,0,0
 36-46,0,0,0,0,0,0,8.25,0,0,0.87,0,0,1.31,0,0,0,0,0.59,0,4.18,8,0.8,0,740.59,7.18,7.75,9.6,0,0,3.74,0,0,93.87,0,0,4.6,0,0
 48-58,0,0.92,0,0.94,0,0,85.88,0,6.2,2.21,15.43,0,2.02,0,0,4.35,0.84,1.48,0,24.74,0,2.63,4.57,878.51,14.19,4.45,2.19,0,0.55,19.68,0,0,206,0,0,2.5,0,1.9
 60-70,0,0,0,2.05,0,0,288.88,0,0,0.86,13.24,0,1.17,0.6,0,0.64,0,0.87,0.86,24.34,0,0.95,0,878.05,4.47,7.89,12.39,0,0.98,20.88,0,0,194.39,0,1.06,0.75,0,0
 72-82,0,6.31,0,7.92,1.02,0,309.54,0.55,0,4.92,29.89,9.28,4.53,0,0,0.82,0,1.91,1.09,36.17,0,6.81,1.8,672.67,4.28,7.08,9.62,0,5.77,14.34,0,0,56.61,3.26,6.27,0.62,4.48,0
 84-94,0,2.28,0,4.58,0.99,0,202.15,0,0,7.16,12.66,11.07,5.93,1.3,0,2.85,0,2.93,3.87,27.4,1.42,7.8,0.87,428.62,2.05,4.57,17.76,0,0,88.44,0,0,65.56,0,15.55,1.53,5.09,0
 96-106,0,1.7,1.03,8.79,3.36,0,173.27,0,0,2.67,30.92,10.88,1.61,3.14,0,0,0,15.68,3.61,44.68,0,2.88,2.18,392.91,4.3,8.56,16.56,0,4.11,42.47,0,0,36.92,0,4.47,2.63,5.29,0
108-118,0,1.77,0,6.03,1.94,1.12,171,0.54,0,0,29.33,18.47,1.79,1.31,0.88,5.81,0,5.97,6.5,50.56,0,18.08,2.76,439.07,3.17,3.06,27.39,0,4.8,15.54,0,0,14.26,1.6,7.45,5.01,9.79,0
120,0,0,0,3.3,0,0,166.01,0,0,2.45,62.74,4.98,2.18,8.36,0,0,1.88,6.68,0,26.66,0,10,0,762.33,1.38,31.67,22.88,0,2.76,3.2,0,0,12.24,0,3.71,14.6,24.17,1.64
