stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,268.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.85,0,0,0,0,0,0,0,0,0
  5-6,120.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.08,0,34.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837.55,31,0,0,44.21,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.22,1.01,249,1.7,0,4.26,0.82,0,1.6,4.74,0,0,0.95,0,0,0,0,4.93,0,0,2.9,85.47,0,1.13,2.88,2.01,0,1.98,0,1.44,4.46,38.91,0,0,3.58,0,0
 24-34,0,3.22,2.08,66.57,0,0,2.63,19.2,0.86,2.85,2.63,4.02,0,4.97,0,3.41,1.27,0.64,42.14,0,0,17.78,183,1.5,5.53,12.11,0,0,18.21,0,0,0,54.59,0,0,13.02,0,0.63
 36-46,0,0,0,17.68,0,0,5.71,5.31,1.74,8.1,0,0,0,0,0,3.49,2.66,0,39.35,1.07,1.13,6.27,103.78,0,0,0,0,0,16.14,0.81,0,0,23.34,0,0,19.07,0,0.71
 48-58,0,0,0,9.84,0,0,5.78,8.13,3.12,13.87,4.95,0.44,0,0.38,0,2.24,0,0,51.13,0.37,0,9.16,67.15,0.38,0,3.57,0,0,25.01,0,0,0,29.16,0,1.41,2.69,0,1.26
 60-70,0,0,0,24.7,0,0,3.08,7.88,0.62,33.86,0,0.95,0,0.58,0,2.48,0,0,79.02,0,0.7,4.19,51.14,0,1.08,0.78,0,0,14.94,0,0,0,11.02,0.77,0,7.39,0.89,0
 72-82,0,2.61,0.75,18.1,0,0,7.26,8.81,6.04,28.51,0.66,6.48,2.67,2.53,0.9,3.94,0,0,93.47,1.59,2,4.25,33.7,0,0,3.8,0,0,5.61,0,0,0,4.69,6.21,1.93,13.54,0.72,5.72
 84-94,0,1.5,0,51.09,3.42,0.59,4.14,6.22,2.4,27.88,0.88,0,2.39,5.35,4.69,6.56,0,0.86,71.98,2.98,0.93,3.53,26.77,0,0,7.28,0,0,41.46,0,0,0,0,3.17,0,14.78,5.72,0
 96-106,0,0,0,28.14,0,0,8.51,7.2,3.85,39.15,1.22,4.21,3.27,5.55,2.84,6.38,4.79,0.69,69.04,5.19,2.61,7.39,24.96,0.79,0,5.83,0,0,36.46,0,0,0,2.29,6.97,1.21,11.83,1.67,0
108-118,0,0.71,0.61,44.09,0,0,5.29,16.96,5.93,31.39,2.86,1.94,4.48,4.6,0.66,3.8,0.5,0,75.63,0,1.15,1.06,41.74,0,0,6.32,0,4.91,14.18,0,0,0,1.8,4.19,3.42,17.01,1.03,1.72
120,0,0,0,11.77,0,0,1.31,10.73,0,40.99,3.6,6.1,1.23,0,0,0,0,0,57.51,0,7.63,10.19,50.14,0,0,6.19,0,0,6.38,0,0,0,0,0,2.68,6.95,0,0
