stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,255.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0
  5-6,6.79,106.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.53,0,0,11.33,0,0,14.46,0,0,0,0,16.04,0,0,0,0,0,0,0,0,0,135.45,0,21.09,0,5.74,0,0,0,0,0,0,0
 10-12,0,7.14,0,0,0,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.07,0,18.23,0,5.47,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.18,2.17,0.82,0,0,0,0,0,0,0,0,0,0,0,1.85,0,1.05,23.24,0,0,1.02,0,0.96,4.56,10.38,0,0,0,0
 24-34,0,0,0,0,0,1.4,0.82,0,0,0,1.8,0,0,0,0.79,0,0,0,4.07,0,0,26.18,0,0,0,0,0,0,15.43,0,0,0,0
 36-46,0,0,0,0,0,0,3.99,0,0,0,0,0,0.6,6.4,0,0,0,0,8.46,0,0,52.46,0.71,0,1.52,0,0,0,8.49,0,9.62,0,0
 48-58,0,0,0.46,0,0,0,15.92,0,0,0,7.01,0,0,0,0,0,0,0.38,7.37,0.4,0.51,32.8,0,0,6.27,0,0,0,10.88,0,0,0,4.67
 60-70,0,0,0,0,0.83,0,12.87,0,0,1.8,0.96,0,0,0,0,0,0,0,4.72,0,2.2,45.78,0,0,0,0,0,0,0,0,3.19,0,0
 72-82,0,0,0,0,0,5.75,16.8,0,0.7,1.49,3.3,0,0,0,0,0,0,0,8.86,1.14,0,21.6,2.65,0,0,0,0,0,1.54,1.35,1.9,0.81,0.82
 84-94,0,0,0,0,0,0,3.18,0.69,2.66,1.75,0.58,0,0,1.41,0,1.88,0,0,13.24,3.01,0,24.31,1.88,0,0.69,0,0,0,0,0,0.72,0,0
 96-106,0,0,0,0,0.59,0,5.04,0,0,0,0,0,0,0.73,0,0,2.87,0,3.01,0,0.77,16.9,0.63,0,4.25,0,0,0,2.15,0,0,0,0
108-118,0,0,0,0,1.96,0,10.36,0,0,0,0.71,0,0,0,0,0,0,0,6.32,0,0,18.32,0,0,0,0,0,0,0,0,4.28,0,0
120,0,0,0,0,1.72,4.34,9.82,0,0,0,3.18,0,0,0,0,0,0,0,8.49,0,2.81,6.11,0,0,0,0,0,0,0,0,1.32,0,0
