stage,blastomeres,epidermis,eye,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,vasculature,xanthophores
  3-4,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,27.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,26.08,0,0,0,0,0
 14-21,0,1.11,0,0,0,0,0,0,0,4.77,0,0,0.82,0,0
 24-34,0,1.69,0,1.09,0,0.67,0,0,0.59,17.63,0,0,0.91,0,0
 36-46,0,0,2.01,1.94,0,0,0,0.67,0.84,39.39,0.76,0,3.97,0,0.85
 48-58,0,0,2.81,1.42,0,0,0,0,0,43.36,0,1.11,2.53,0,0
 60-70,0,2.24,8.59,0.65,0,0,0,0,0,21.83,0,2.59,1.43,0,0
 72-82,0,0,1.81,1.11,0,0,0,2.37,0,25.16,0,0.54,1.75,0.72,0
 84-94,0,0,0,0,0.64,0,0,0,0,5.32,0,0,0,0,0
 96-106,0,0,0.8,0.91,0.64,0,0,0,0,3.39,0,1.13,0,0,0
108-118,0,0,1.15,0.54,0,0,2.22,0,0,1,0,0.98,0,0,0
120,0,0,26.1,0,0,0,0,0,0,16.78,0,0,0,0,0
