stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,20.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.65,0,0,0,0,0,0,0,0,0,7.43,7.35,0,8.26,0,0,0,0,0,0
 14-21,0,0,2.98,0,0,0,0,0,1.15,0,1.16,0,0.81,0,0,0,0,0,1.22,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.73,0,0,0.66,1.26,0,7.07,0,0,0,0,0,2.26,0,0,0
 48-58,0,0,0,2.64,0,0,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.98,0,0,5.44,0,0,0,0,0,0,0,0,0
 72-82,0,2.2,0,7.81,0,0,2.93,0,0,0,0.49,0,0,50.24,0,0,0,0,0,0.56,0,0.67,0.51
 84-94,0,0,0,3.17,0.79,0,0,0,0,0,0,0,0,20.86,0,0,0,1.49,0,0,0,0,6.45
 96-106,0,0,0,16.55,0,0,1.63,0,0,0.75,1.01,0,0,19.96,0,0,0,0,0,0,0,0,3.47
108-118,0,0.77,0,1.63,0,0,2.17,0,0,0,0,1.15,0,64.07,0,0,0,0,0,0,0.42,0,0.71
120,0,0,0,9.84,0,19.12,0,0,0,0,0,0,0,56.61,0,7.82,0,0,0,0,0,0,0
