stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,0,0,26.55,0,0,4.37,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.63,2.83,0,5.71,0,0,0,5.16,0.81,0,0,0,0,0,0,0,18.08,0,13.04,128.31,1.61,6.03,3.56,4.93,0,0,0,12.44,0,15.08,47.53,0,0,4.57,0,0.84
 24-34,0,2.04,0.82,3.75,1.35,0,20.67,0,0,0,1.79,0.91,0,0,0,0,0,0.67,0,27.25,0,9.89,296.98,0,7.06,3.76,0,0,0,0,0,0.97,2.5,45.19,0,0,9.98,0,0
 36-46,0,0,0,2.98,0,0,62.08,0,0,0,8.6,0,0.65,0,0,0,0,0,0.67,43.84,0.92,9.41,259.98,0.64,6.45,0,0,0,0,0,0,0,0,62.1,0,0,2.29,0.78,0
 48-58,0,0,0,2.34,0,0,149.32,0,0,2.07,29.64,0,0,0.42,0,7.78,0.58,0,0,36.67,0,4.31,275.55,0,7.51,0.81,0,0,3.03,0,0,0,0,53.58,0,0.42,2.46,0,4.88
 60-70,0,0,0,2.55,1.17,0,184.83,0,3.41,0.62,32.51,0.64,1.22,1.17,0,0,0,4.66,0,66.97,0,2.47,365.07,0,3.27,6.95,0,1.22,0.82,0,0,0.58,0,69.68,0,1.62,7.68,0.94,3.58
 72-82,0,0.98,0,3.5,0.54,0,227.94,0,0,1.33,52.42,2.06,1.59,0.55,0,1.48,2.72,0,1.8,64.78,4.04,7.13,328.82,0,13.91,0,0,0,0,0,0,0.53,0,92.03,0,2.93,3,1.39,0
 84-94,0,2.82,0,10.4,5.6,0,90.24,0,0,5.77,36.56,0.62,3.61,1.94,0,0.62,0,0,2.28,56.64,16.87,4.44,173.94,0,6.97,4.04,0,4.92,3.05,0,0,0,0,30.41,0,1.7,2.78,1.66,13.69
 96-106,0,2.32,0,7.69,0.69,0,120.58,1.34,0.56,1.6,62.06,1.17,0,2.66,0,0.95,3.65,1.99,0.71,66.33,2.16,3.7,220.95,0.57,16.83,1.13,0,0,0.66,0,0,2,0,16.88,0,1.01,5.96,1.97,5.69
108-118,0,0.83,0,22.95,3.88,2.73,130.61,0,0.69,2.43,60.54,0,0,2.63,0.72,3.33,0,3.12,0,100.18,10.2,5.66,312.53,0.51,4.81,1.45,0,1.1,1.75,0,0,0,0,33.06,5.28,0.67,4.59,3.23,8.76
120,0,11.69,0,6.93,6.09,0,89.51,0,1.03,3.27,198.59,0,0,2.05,0,1.05,4.83,14.42,1.64,122.19,19.84,13.89,378.75,0,28.95,2.34,0,0,0,0,0,0,0,19.2,0,0,21.68,2.7,7.26
