stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.96,0,0,0,8.12,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0
 24-34,0,0,1.16,0,1.81,0,0,0,0,0,0,0,0,0,0,2.7,12.67,1.04,1.12,0,0,0,0.73,8.06,4.06,1.59,0,0,0
 36-46,0,0,0,0,9.11,8.28,0,0,0,0,0,0,0,4.03,0,3.44,17.08,0,0,0,0,0,1.1,13.89,0,6.59,0,0,0
 48-58,0,0,0.77,0,7.57,5.44,0,0,0,0,0,0,0,1.79,0,2.51,25.67,0,0,0.5,0,0,1.03,18.67,0,7.95,3.4,0,0
 60-70,0,0,0,0,1.95,10.04,0,6.02,0,0,0,0,0,0,0,7.59,11.24,0,0,0,0,0,3.4,15.09,0,11.14,0,0,0
 72-82,0,0,0,0,3.8,11.35,0,0.61,0,0,0,0,0,3.37,0,3.69,25.39,0,0,0,0,0,0,4.88,0,6.16,0,0,0
 84-94,0,0,0,0,11.12,14.92,0,0.76,0,0,4.48,0.62,0,3.55,1.94,1.13,26.64,0,0,0,0,0,0,11.55,0,2.55,1.85,0,0.82
 96-106,0,1.78,0,0,9.86,10.36,0.96,0,1.38,0.71,0,0,0,4.05,0,7.41,38.82,0,2.14,0,0,0,0,4.02,0,0,0,3.47,0
108-118,0,0,0,0,4.89,13.22,0,2.43,0,2.89,0,10.91,1.47,0,0,5.3,44.95,0,0,0,0,0,0,11.77,0,4.79,0.52,0,3.79
120,0,7.85,0,7.29,5.8,27.37,0,0,0,0,0,0,0,13.27,0,4.31,28.99,0,0,0,0,1.79,1.17,3.85,0,0,0,0,0
