stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,68.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,6.07,0,0,8.65,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.13,0,0,0,14.26,0.82,0.81,0,0,0,0,0,0,0,0,0,68.12,0,1.96,0,0,0,0,1.07,5.14,0,75.86,0,0,0,0,0
 24-34,0,0,0,0,0,5.97,0,0,0,42.78,0,0,0,0,0,0,0,0.7,0,0,0,468.02,0,5.7,1.87,0,0,0,0,62.48,3.79,217.51,0,0,0,0,0
 36-46,0,0,1.07,0,0,14.75,0,0,0,81.22,0,0,0,0,0,0,0,2.09,0,0,0.97,964.5,0,6.82,0,0,0,0,0,14.3,0,325.86,0,0,0,0,1.62
 48-58,0,0,8.12,0,0,60.98,0,0,0,182.61,0,0,7.01,0,0,0,0,14.12,0,0,0,1354.36,0,2.64,0.38,0,2.81,0,0,1.67,0,296.64,0,0,0,0,0
 60-70,0,0,3.98,1.1,0,331.4,0,0,0,295.69,0,0,0,0,0,0,0,47.2,0,1.78,9.74,2667.53,0,0,0,0,0,0,0,4.15,0,355.13,0,0,0,0,0
 72-82,0,0,8.97,5.13,0,485.29,0,4.8,4.84,372.42,0.56,0,5.9,0,2.79,0,0,65.49,0,0,1.98,2939.36,0,2.72,1.15,0,1.27,0,0,0,0,254.32,3.85,0,0.99,1.93,0
 84-94,0,0,9.01,8.9,0,425.57,0,0,0.67,258.5,0,1.01,2.12,1.56,3.95,0,2.28,44.23,0,3.54,7.54,2095.61,0,4.51,3.25,0,0.96,0,0,0,0,232.23,0,0.57,0.84,3.36,0
 96-106,0,0,12.62,2.75,19.67,507.34,0,0.72,2.4,290.88,0,0,0.77,0,0,0,0.77,51.5,0.9,10.72,2.22,1968.31,0,3.51,8.7,0,3.71,2.06,0,0.87,0,80.07,0,0,3.44,2.83,11.12
108-118,0,4.9,28.1,4.08,0,409.47,0.73,1.45,0,364.17,0,0,0,0.86,1.16,0,0,65.11,0,0,2.69,2342.2,0,1.44,1.18,0,0.62,0,0,0,0,121.85,0.6,2.27,2.11,1.28,0
120,0,0,4.12,0,0,437.34,0,1.33,1.58,564.37,0,0,7.72,0,0,5.48,0,109.05,0,0,3.33,3036.45,0,3.27,3.73,0,2.48,0,0,0,0,102.06,0,0,2.09,0,0
