stage,endoderm,erythrocytes,eye,neural,paraxial.mesoderm
  7-9,0,0,0,3.51,4.35
 10-12,6.23,0,0,0,8.3
 36-46,0,0.57,0,0,0
 48-58,0,0,9.5,0.66,0
 60-70,0,0,3.68,0,0
 72-82,0,0,6.41,0,0
 84-94,0,0,16.43,0,0
 96-106,0,0,12.57,0,0
