stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,410.44,6941.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.58,0,0,0,0,0,0,0
  5-6,634.91,2386.04,60.01,0,0,0,0,0,0,0,114.14,0,0,0,0,0,0,0,282.59,0,0,8.76,6.16,0,0,0,0,0,0,0
  7-9,101.74,200.67,895.32,0,0,0,391.08,0,0,0,239.66,0,0,0,0,0,0,0,5363.42,12.75,0,841.96,0,4.77,0,0,0,0,0,0
 10-12,17.14,239.71,190.06,0,0,0,19.2,0,0,0,7.01,0,0,0,0,0,0,0,6144.33,189.3,0,2508.28,0,6.03,54.64,23.79,0,30.77,0,0
 14-21,0,5.85,18.6,52.01,53.17,0,6.33,0,0,0,0,2.19,0,0.86,0,2.17,65.31,40.64,3509.84,24.01,0,24.88,2.74,0,2070.41,2.92,17.59,665.15,204.16,1.82
 24-34,0,0,4.15,3.36,0.62,0,11.59,0,3.99,0,0,2.87,0,0.81,0,0,10.84,6.96,591.86,1.49,0,0,0,0,6.28,0,1.16,105.22,1.01,1.13
 36-46,0,0,0,0,0,0,10.12,0.6,0,0,0,0,0,0,0,0,2.21,0,120.85,0,0,0,0.83,0.81,0,7.49,0,0,5.91,0
 48-58,0,0,0,0.46,0,0,11.08,0,2.09,0,0,2.79,0,0,0,0,1.13,0.62,69.56,0,0,0,0,0,0,0,0,0,2.02,0
 60-70,0,0,0,1.2,0,0,4.51,0,1.96,0.56,0,0,0,0,0,0,5.66,0.66,11.75,0,0,0,1.48,0,0,0,0,0,2.25,0
 72-82,0,0,0,5.62,0,0,4.17,0,0,0,0,0,0,0,0,0,8.09,2.6,17.37,0,0.79,0,0,0,0,0,0,0,5.37,0
 84-94,0,0,0,1.82,0,0,0.69,0,2.24,0.64,0,0,0,0,0,4.86,6.18,0.6,12.34,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.58,0,0,0.81,0,9.22,0.68,0,0,1.89,0,0.75,0.93,4.25,0,11.03,0,0,0,0,0,0,0,0,0,1.99,0
108-118,0,0,0,1.36,0,0.82,0,0,3.81,1.18,0,0,0,0,0,0.93,5.58,3.01,16.49,0,0,0,0.86,0,0,0,0,0,8.87,0
120,0,0,0,1.34,0,0,2.15,0,0,3.95,0,0,0,0,0,0,10.97,0,6.42,0,0,0,0,0,0,0,0,0,0,1.09
