stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,17.93,0,0,0,5.39,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,22.84,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.41,0,0,0,0,0,289.42,0,0,0,0,1.6,2.4,0,0,0,0,0.64,0,1.23,0,0
 36-46,0,0,0,0,0,1.96,0,0,0,0,1349.44,0,0,0,0,1.02,23.71,0,1.2,0,0,0,0,1.91,0,0
 48-58,0,0,0,0,0,2.62,0.81,1.95,0,0,1163.73,0,0,0,0.48,0,22.06,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,10.32,0,0,0,0,1223.07,0,0,1.46,0.64,0,37.84,0,0,0,0,0.8,0,0,0,3.9
 72-82,0,0,0,3.11,0,3.77,0,1.05,0,0,768.67,0,3.06,0,8.69,1.11,30.76,0.72,0,0,0,4.48,0,0,0.65,0
 84-94,0,0,0,5.29,0,12.73,0,0,0,0,974.84,0,0,0,1.09,0,11.88,0,0,0,0,2.47,0,0,0,0
 96-106,0,0,0,7.79,0,14.72,0,3.14,13.99,0,1179.31,1.58,0,0,7.87,0,26.08,0,0,0.57,0,5.41,0,0,1.6,1.22
108-118,0,0,0,3.37,5.06,19.14,2.55,0.64,1.77,0,893.5,0,0,0,2.52,1.4,19.31,0,0,0,0,0.88,1.24,0,0,0
120,0,0,0,5.22,0,0,0,2.04,0,2.11,1023.15,0,0,0,7,0,18.92,0,0,0,0,0,0,0,0,6.17
