stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,103.6,1266.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.08,0,0,0,0,0,0,0,0
  5-6,85.5,466.03,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.01,6.07,0,0,0,0,14.58,0,0,0,0,0,0,0,0
  7-9,15.8,0,0,3.95,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,30.85,0,0,0,9.94,0,0,6.96,0,0,0,0,0,0,0
 10-12,0,14.37,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.39,0,0,0,3.67,0,0,0,7.73,0,0,0,0,0,0
 14-21,0,0,0,3.9,9.1,6.58,0,0,0,0.87,0,1.6,0.96,0,15.9,0,0,0,0,35.95,1.88,0,0,0.89,44.86,58.5,1,0,0,0,0,0,6.52,28.74,0,0,4.35,0,0
 24-34,0,0,0.75,0.67,10.49,0.66,0,3.07,0,6.48,1.36,0.64,0,0,14.19,1.95,2.29,0,0.78,11.96,6.93,0.84,0,13.46,327.01,11.87,10.11,1.36,0,0,9.2,0,6.26,75.24,0,0,62.16,0,0.77
 36-46,0,0,0.95,0,19.8,0,0,12.32,0,0.93,0.57,5.58,0.72,0,13.82,0,0,1.36,1.17,1.56,14.1,0,0,5.59,526.29,6.07,20.69,3.92,0,0,18.25,0,2.03,134.16,0,0,50.72,0,0
 48-58,0,0,0,0,34.78,0,0,68.48,0,2.15,4.48,36.07,0,1.66,2.4,0,0.51,0.43,0.95,1.04,31.56,5.22,3.32,0.81,675.08,7.93,7.47,6.9,0,0,56.25,0,1.01,162.46,0,0.37,28.03,0,0
 60-70,0,0,0,0,34.95,0,0,91.77,0,7.34,2.27,37.43,0.63,6.38,0.58,7.28,0,17.46,0,0,47.34,3.83,0,0.77,355.25,20.53,28.08,1.65,0,0,51.41,0,2.74,85.97,1.38,0,25.95,0,0
 72-82,0,0,1.32,0,26.54,14.97,0,68.46,0.82,20.1,1.88,40.81,1.01,1.09,11.99,1.57,1.75,6.21,0,0.79,59.6,6.28,10.14,3.1,456.79,0,12.19,7.92,0,0.8,82.53,0,0,50.48,0,1.86,55.18,1.83,0
 84-94,0,0,3.42,1.27,71.89,18.76,0,75.36,0,11.16,0,22.66,4.29,0,8.01,5.71,1.35,5.81,6.41,0.6,51.52,17.06,6.13,3.14,238.45,0,9.04,5.98,0,11.9,204.62,0,0.89,44.68,0,1.5,54.94,2.49,2.6
 96-106,0,0,2.12,1.94,58.99,47.12,1.12,53.74,0,14.98,1.65,23.86,4.57,0,12.08,7.23,1.14,2.76,3.43,14.79,77.3,9.03,8.52,0,218.15,0.73,7.84,4.75,0,10.12,219.38,0,0,18.74,3.08,0.79,59.9,0,0
108-118,0,0,0,1.42,43.88,21.87,0.56,29.72,0,21.3,6,43.96,13.93,0,2.14,8.03,2.55,11.13,1.23,5.16,39.15,8.97,8.73,1.03,202.16,2.56,17.03,1.62,0,9.56,137.96,0,3.79,5.91,2.8,2.53,48.84,4.32,2.2
120,0,0,3.73,7.73,40.65,28.86,0,44.78,0,9.75,1.44,24.14,32.99,0,2.09,18.93,2.26,5.96,0,5.44,25.88,5.82,0,0,342.36,0,25.42,10.13,0,0,106.57,0,0,16.57,8.89,0,70,0,0
