stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,214.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,97.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.17,0,16.43,0,0,20.68,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,165.81,30.54,0,46.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.26,10.16,0,9.58,54.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.89,19.68,0,84.23,0,0,8.67,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.46,1.87,3.05,0,0,1.35,0,0,0,0,0,0,0,1.05,5.12,0,0,1.77,53.11,1,0,0.98,0,6.87,0,0,3.09,13.54,0,0,1.26,0,0
 24-34,0,0,0,1.75,0,7.46,0,0,0.8,0,0,0,0,0.62,1.17,0,0.62,4.72,0,0,4.51,60.39,0.76,0,0,0,0,0.93,2,1.41,25.19,0,0,6.03,0,0
 36-46,0,0,0,0.83,0,17.39,0,0,3.05,0,0,0,2.69,0,0,0,0.58,6.76,0,0,0,64.2,0,0,0,1.24,0,0,0,0,17.57,0,0,2.06,0,0
 48-58,0,0,0,0,0,28.79,0,0,6.76,0,0,0,0,0,0,0,1.24,7.4,0,0,2.37,56.53,0,0,0,0,0,0,0,0,20.2,0,0.37,0.75,0,0
 60-70,0,0,0,0.57,0,88.53,1.03,0,11.16,0,0,0.69,0,0,0,0,0,14.94,0,0,0.58,53.67,0,0.9,0,0,0,0,0,0,5.03,0,0,0,1.46,0.96
 72-82,0,0,0,0.98,0,44.08,0,0,9.43,1.01,0,1.28,1.38,0,0,0,0,11.23,0,2.58,0.56,40.7,0,1.37,0,0,0,0,0,0,2.86,0,0,3.67,1.11,0
 84-94,0,0,0,0,0,123.86,0,0,15.76,0,0,0,0,0,0,0,4.77,18.64,0,2.23,1.57,44.46,0,0,0,1.48,0,0,0,0,1.38,0,2.5,2.33,0,0
 96-106,0,0,0,0,0,76.02,0.96,0,18.88,0,0,1.39,4.2,0.6,0,3.99,0.68,14.92,0,3.34,1.96,49.73,0,0.95,0,1.11,0,0,0,0,0,0,0.92,5.22,0.97,0
108-118,0,0,0,0,0.59,38.36,0.5,1.6,10.4,0.46,0,0,4.17,0,1.92,0,0.47,6.5,1.14,0.98,0.61,29.88,0,0,0,6.87,0,0,0,0,0,3.42,0,1.12,0,0
120,0,0,0,1.56,0,35.58,0,0,7.6,0,0,0,2.12,0,0,0,0,15.27,0,6.84,0,53.98,3.03,1.86,0,4.54,0,0,0,0,0,0,0,0,1.93,0
