stage,endocrine.pancreas,endoderm,exocrine.pancreas,eye,liver,neural,otic,pronephros
  7-9,0,7.74,0,0,0,10.96,0,0
 10-12,0,0,0,0,0,10.63,0,0
 48-58,0,0,0,0,0,0,0.42,0
 84-94,0,0,0,0,0.57,0,0,0
 96-106,1.23,0,0,0,0,0,2.17,0
108-118,0,0,3.85,2.45,0,0.59,0,0
120,0,0,0,0,0,0,0,4.05
