stage,eye,glial,mesenchyme,muscle,neural,spinal.cord
 14-21,0,0,0.88,0,0,0
 24-34,1.46,0,1.35,0.81,0.8,0
 36-46,1.06,0,0.85,0,8.44,0
 48-58,0,0,0.44,0,7.89,3.56
 60-70,2.56,1.63,0,0,21.49,1.43
 72-82,0,2.49,0,1.29,10.93,1.14
 84-94,0,2.13,0,0,7.35,3.07
 96-106,0,3,0.98,0,4.51,0
108-118,0.5,0,0,0,18.04,0
120,4.55,8.08,0,0,48.55,10.16
