stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,6.29,0,0,0,0,0,0,0,0,0,0,1.91,2.56,0,0,0,0
 24-34,0,0,6.59,0,0,5.83,0,0,0,3.38,0,0,0,0.78,1.56,0,0,0.97,0,0,0,44.43,1.07,0,0,0,0,3.91,0,0,0,0,0,6.78,0,0,0,0
 36-46,0,0,0.62,0,0,7.89,0,0,0,0,0,0,0,0.57,0,0,0,3.13,0,0,0,283.49,0,0,0,0,0,13.03,0,0,0,0,0,6.9,0,0,0,0
 48-58,0,0,8.67,0,0,20.01,0,0,0,9.02,0,0,0,0,0,0,0,4.97,0,0,0.4,310.03,0.96,0.6,0,0,0.39,2.42,0,0,0,3.14,0,17,0,0,0,5.5
 60-70,0,1.73,14.53,0,0,82.35,0,0,0,14.57,13.67,0,0.98,0,0,0,0,6.04,1.43,0,0,497.19,0,0,0,0,0,0,0,0,0,0,0,24.21,0.71,0,0,0
 72-82,0,12.42,28.9,1.17,0,76.55,0,0,0,19.48,24.02,0.93,0.53,1.02,0,0,0,9.01,0,0,0,672.78,0,0,0,0,0,0,0,0,0,0,0,7.89,1.01,0,0,0
 84-94,0,4.73,54.47,6.88,0,63.4,0,0,3.91,17.71,60.57,0,0,0,0.58,0,0,6.01,0,0,0,619.18,0,2.69,0,0,0,3.12,0,0,0,2.53,0,6.47,3.15,0,1.08,5.82
 96-106,0,17.27,14.04,0,0,98.79,10.44,1.33,0,38.44,180.12,0,0,0,0,1.42,1.86,24.57,0.69,1.76,2.61,400.1,0.58,1.65,0.6,0,3.14,1.48,3.39,0,2.03,0,0,45.82,0.81,0.62,0,0.8
108-118,0,10.99,13.73,0,6.91,127.72,0,0,2.99,22.77,268.97,0,0,0,0.43,0,9.28,18.99,2.75,0,0.51,888,0,0.86,0.53,0,3.47,1.82,0,0,0,0,0,16.58,1.59,0,0,4.17
120,0,23.06,23.06,5.63,0,82.43,0,0,0,68.42,284.86,3.84,2.8,0,0,0,1.42,11.65,0,0,7.32,1111.53,0,0,5.66,0,0,1.55,0,0,0,1.63,0,0,11.99,0,0,0
