stage,blastomeres,eye,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,pronephros
  5-6,6.61,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.88,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,4.36,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.51,0,0,0,2.42,0,0,0
 48-58,0,0.83,0,0,0,0.6,0,0,0,3.38,0,0,0
 60-70,0,9.49,0,0,0,0,2.03,0,0,1.46,0,0,0.63
 72-82,0,16.37,0.5,0.64,0.87,0,1.06,0,0,12.02,0.56,0,1.26
 84-94,0,13.65,0,0,0,0,0,1.84,1.12,7.17,0,0,0
 96-106,0,62.09,1.69,3.78,0,0,2.35,0,0,8.7,2.8,0,11.24
108-118,0,43.72,1.12,1.93,0,0,2.91,0,0,3.89,0.57,0,10.46
120,0,27.02,0,9.13,0,0,7.66,0,0,32.71,1.61,5.9,23.24
