stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.53,25.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.53,6.55,0,0,178.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.59,32.71,0,0,133.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,83.62,46.63,0,17.14,258.13,0,0,0,0,0,9.88,0,0,0,0,0,3.73,0,0,0,0,0,2315.35,80.18,0,0,275.02,0,0,17.61,0,12.08,0,0,0,0,0,0
 14-21,0,0,11,223.04,16.98,153.95,0,11.79,0,27.69,1,0,0,0,7.62,0,0,0,0.85,18.23,0,0,30.62,2202.67,248.46,0,25.22,16.72,5.78,45.56,0.92,89.19,389.27,443.12,0,0,10.46,0,1.41
 24-34,0,0,5.13,111.15,0,134.32,0,101.32,1.21,39.74,0,0,5.73,0,0.6,0,9.11,0,0,22.11,0,0,21.86,2280.72,5.92,2.46,43.42,0,3.13,3.77,0,4.49,57.14,408.07,0,0,90.8,0,4.79
 36-46,0,0,0,48.28,0,63.41,0,75.23,0.61,184.22,0,0,15.64,0.57,0,0,6.42,0,0,16.44,0,11.59,9.38,1844.11,0.64,1.66,24.49,16.41,3.13,0,0.79,0,0,329.96,0,0,98.66,0,3.09
 48-58,0,0,0,35.99,0,85.19,0,42.81,0.9,273.01,0,0,4.75,1.26,0,0,4.8,0.58,0,11.61,0,0,2.43,765.57,1.6,0,31.6,0,3.8,0,0,0,0,249.95,0,0,69.28,0,10.19
 60-70,0,0,0,44.7,17.81,63.12,0.79,33.49,3.3,323.02,0,0,9.59,0,6.34,3.18,7.75,0,0,15.61,0,0,5.33,350.42,0.71,0,13.37,0,0.96,0,0,0,0,74.1,0,0,75.78,0,14.4
 72-82,0,0,0,28.24,0.94,62.82,0,28.22,1.34,286.42,0.54,0,4.67,4.31,0,1.27,14.3,3.49,0,13.86,0,0,1.96,205.21,0,2.06,29.34,0,0.59,0,0,0,0,47.04,1.58,0.89,132.17,4.01,4.12
 84-94,0,0,0,40.58,0,66.52,0,43.51,1.18,224.64,0,0,3.47,3.46,0,7.33,4.66,0,0,21.91,0,0,5.39,132.32,2.9,1.43,47.76,0,1.66,0,0.56,0,0,25.54,0,2.3,140.42,1.93,5.7
 96-106,0,0,0,60.6,0,52.52,0.87,34.17,7.22,274.4,1.53,0,0,16.94,1.49,5.47,6.71,6.71,0,23.95,0.76,2.28,5.07,186.95,0,1.98,38.76,0,13.71,0,0.9,0,0,3.35,0,0,116.61,0.74,4.4
108-118,0,0,0,67.91,5.15,54.44,0,58.89,0,315.23,3.07,0,1.6,11.48,1.79,10.42,6.55,0.73,0,16.5,1.64,0,11.06,243.63,0.72,3.36,50.61,0,4.34,0,0,0,0,7.94,1.02,1.68,148.46,2.56,2.67
120,0,0,0,85.29,0,62.56,0,65.7,0,402.92,0,0,2.34,20.79,0,7.73,8.61,0,0,16.29,0,2.35,12.4,203.83,1.48,0,71.9,0,9.32,0,0,0,0,8.23,0,0,192.77,20.7,18.07
