stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  5-6,23.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,20.25
 24-34,0,0,0.82,1.46,0,0,0,0,0.6,7.99,1.2,0.6,8.82,0,0,0.6,1.91,0.69,42.58
 36-46,0,0,0,1.3,0,0,0.86,0,0,38.21,0,0,26.76,0,0,7.68,6,0,107.43
 48-58,0,0,0,0,1.2,0,2.48,0,0,43.7,0.47,0,37.51,0,0,0,2.89,1.97,71.14
 60-70,0,0,0,16.02,0,0,1.74,0,0,38.99,7.35,3.63,66.96,0,0,0,0,0,94.99
 72-82,0,0,0,4.26,1.29,0,4.09,0,3.73,30.31,8.72,0,170.35,0,0,0,0.84,0,86.5
 84-94,0,0,1.72,16.06,0.64,0,6.13,0,0,128.53,1.42,0.63,141.97,0,0,0.82,0,0,48.95
 96-106,0,0,0,7.69,1.42,2,11.48,1.24,0,43.55,11.99,0,210.39,1.16,0,0,2.94,0,72.87
108-118,0,1.4,2.35,8.53,0.89,0,45.71,0,0,110.6,4.57,0,265.53,0.58,0,0,0,0,102.48
120,0,0,1.42,21.55,11.86,0,18.1,0,0,51.37,9.25,4.34,356.37,0,0,0,0,0,66.34
