stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,vasculature,xanthophores
  3-4,0,144.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.97,0,0
  5-6,18.08,387.46,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,0,12.76,0,0
  7-9,14.41,9.19,8.52,0,0,29.36,0,0,0,10.61,0,0,0,0,0,102.39,0,0,0,38.11,0,0,0
 10-12,0,0,0,0,0,4.61,0,0,0,8.17,0,0,0,0,0,36.28,0,0,0,8.99,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,6.47,0,0,0,0,0.99,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,1.74,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.76,0,0,0,1.07,0,0,7.18,0,2.45,0,0,0,0,3.02
 60-70,0,0,0,0,0,2.27,0,0,0,0,0,0.86,0,0,0,2.67,0,0,0,0,0,0,1.29
 72-82,0,0,0,0,0,2.11,0,0,0,0,0,0,2.54,0,0.67,4.46,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.47,1.49,0,5.28,0,0,0,0,0,0,0,0.92,0.76,0,0,0,0.82,0,0
 96-106,0,0,0,0,0,1.58,0,0,4.02,0,0,0,2.19,0,0,3.49,0,0,0,0,0.59,0.7,0
108-118,0,0,0,0.51,0,0,0.47,0,0,0,0,0,3.82,1.04,0,0.9,0,0,0.5,0,0,0.49,0
120,0,0,0,0,0,0,0,8.5,0,0,3.69,0,0,0,0,16.62,0,0,0,0,8.83,1.46,0
