stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,iridophores,mesenchyme,neural,olfactory,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,7.26,18.64,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.49,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.04,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.9,1.27,0,0,0
 36-46,0,0,0,0,0,0,0,0,9.48,4.01,1.38,0,0
 48-58,0,0,0,0,0,0,0,0,5.26,3.39,0,0,0
 60-70,0,0,0,0.79,0,1.93,7.43,2.69,13.17,1.48,0,0,0
 72-82,0,0,0,3.83,0,0,0,0,31.14,3.94,0,0,0
 84-94,0,0,0,10.2,8.01,0,0,0,15.05,0.64,2.52,0,1.2
 96-106,0,0,0.6,18.33,0,1.1,0,0,13.93,0,0,0,0
108-118,0,0,0,22.39,0,1.83,0,0,21.73,1.47,7.22,1.44,0
120,0,0,0,0,0,0,0,0,34.68,5,0,0,0
