stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal.cord
  3-4,16.23,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,7.54,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.52,0,8.72,0,0
 36-46,0,0,0,0,0,0,0,0,2.38,0,17.7,0,0
 48-58,0,0,11.17,0,0,1.4,0,0,2.56,0,16.75,0,0
 60-70,0,0,5.06,0,2.05,3.44,0.6,0,7.9,0,33.32,0,0
 72-82,0,1,16.55,0,0,17.03,0,0,11.28,0,88.39,0,9.39
 84-94,0,0,13.11,0.89,0,11.61,0,0,5.21,0,157.61,2.01,0
 96-106,0,0,9.57,0,0.56,45.49,7.73,6.46,4.24,0,239.12,0,0
108-118,0,0,4.71,0,1.53,21.81,3.95,0,6.74,1.91,169.52,0,0
120,0,0,11.43,0,5.73,29.59,0,0,39.77,0,188.9,0,0
