stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,141.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.13,145.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.89,7.58,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.3,0,0,0,29.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.56,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.41,0,15.64,0,0,0,49.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.89,8.2,0,0,45.36,0,0,25.6,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,1.33,12.39,3.52,0,9,0,1.89,0,2.04,0,0,1.16,0,0,0,0,3.24,0,0,0.84,67.72,0.94,4.4,2.58,0,0.98,2.01,1.08,0,4.61,22.39,0,0,0,0,0
 24-34,0,0,0,0,3.21,1.39,0,8.65,0.74,1.08,0,0,0,0,0.73,0,0.77,2.54,0.62,8.19,0,0,1.49,126.59,0.61,14.41,14.8,0,0,2.17,0,0,1.91,33.58,0,0,0.6,0,0
 36-46,0,0,0,0,0,0,0,20.79,0.58,4.33,0,0,0,0,1.03,0,2.17,0,0,6.32,0,0,2.75,134.41,0,9.39,15.55,0,0,0,0,0,0,22.6,0,0,3.8,0,0
 48-58,0,0,0,0,3.27,0,0,56.04,1.51,12,0,0,0,1.45,0,0,0.62,0.37,0,13.48,0,0.42,1.31,147.83,0,1.96,9.67,0,0,0,0,0,0,26.83,0,0,0.78,0,0
 60-70,0,0,0,0,4.9,0,0,60.99,0,4.34,4.62,0,0,0,0,0,0.67,3.26,0,9.93,0,0.63,0.58,114.23,0,2.84,3.51,0,0,0,1.95,0,0,15.21,0,0,0,0,0.77
 72-82,0,0,1.07,0,0.84,0,0,80.88,0,9.28,2.15,0,0.98,2.31,0.5,0,0.55,0,1.8,20.53,2.86,0,1.21,98.08,0,15.08,13.31,0,0,0,4.78,1.81,0,4.15,0,0,5.32,0,0
 84-94,0,0,0,0,10.32,1.99,0.59,57.52,0.78,6.91,6.91,0,1.06,0.73,1.28,0,1.41,2.18,10.38,27.47,0,1.13,1.44,90.93,0,8.58,13.42,0,0,0,3.71,0,0,5.99,0,1.32,1.62,0.92,0.89
 96-106,0,0,1.9,0,10.95,0,0,68.66,0,15.46,3.4,0,3.01,0.64,1.35,0.66,2.03,10.96,0,20.79,3.68,0,3.93,51.61,0,6.05,10.2,0,0,0,0.6,0,0,0.87,0.58,5.01,1.39,0,1.4
108-118,0,0,0.97,0,7.1,0.52,0.94,57.08,0,19.69,3.4,0,0,0.56,1.51,0,4.76,3.15,0,24.9,1.79,0,0.92,84.27,0.67,9.35,13.83,0,0.99,0,3.08,0,0,0.94,2.81,0,0.62,2.62,0
120,0,0,0,0,1.09,0,1.91,44.27,3.67,39.63,2.42,0,0,1.26,0,0,0,3.92,0,25.64,0,0,8.65,65.58,0,7.67,7.14,0,0,0,0,0,0,0,0,0,10.1,0,0
