stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,80.95,294.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.3,534.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.14,0,18.47,0,0,11.8,0,0,0,0,18.53,0,0,0,0,257.13,3.67,0,0,55.34,0,0,0,0,0
 10-12,0,0,3.04,0,0,16.98,0,0,0,0,0,0,0,0,0,73.91,0,0,0,25.87,0,0,0,0,0
 14-21,0,0,0,2.05,0.88,0.9,0,0,0,0,0,0,0,1.42,3.03,20.8,0,0,0,0,0,1.22,2.86,5.82,1.01
 24-34,0,0,0,0,0,2.4,0.82,0,0,0,0,0,0,7.3,0,39.19,0,0,0,0,0,0,0,7.3,0.81
 36-46,0,0,0,0,0,3.77,0,0,1.83,0,0,0,0,0.65,0.58,37.46,0,0,0,0,1.32,0,0,12.22,0.56
 48-58,0,0,0,0,0,2.63,0,2.44,11.5,0,0,0,0,2.61,0,38.13,0,0,0,0,0.4,0,0,2.54,0.5
 60-70,0,0,0,0,0,15.96,0,0,0.92,4.12,0,0,0,1.23,2.85,25.66,0,0,0,0,4.37,0,0,10.37,0
 72-82,0,0,0,0,0,7.41,0,0,1.56,0,0,0,0,12.16,0.61,35.28,0,1.2,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,8.56,0,0,0,0,0,0,0,2.36,1.77,33.17,0,0.8,0,0,1.85,0,0,2.23,0
 96-106,0,0,0,0,0,11.45,0,0,0,0,0,0,0,8.07,0,20.31,0,2.86,0,0,0,0,0,14.74,0
108-118,0,0,0,0,0,2.34,0,0,4.42,0,0,0.78,0.64,1.75,1.32,24.11,0,0.43,0,0,1.13,0,0,0,0
120,0,0,0,1.59,0,6.5,0,0,0,0,0,0,0,0,1.52,7.06,0,0,2.11,0,1.21,0,0,0,0
