stage,eye,fin.mesenchyme,glial,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,8.21,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.26,0,0,0
 14-21,0.81,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.87,0,0,0,0,0,0,0,0.9,0,1.38,1.43
 36-46,0,0,0,0,0,0,0,0,1.38,0,0,0
 48-58,3.85,0,0.77,0,0,0.54,0.86,0.73,1.72,0,0,0
 60-70,6.73,0,0,0.58,0,0,0,0,2.51,0,0,0
 72-82,0,0.61,0,0,0,0,0,0.63,1.34,0,0,0
 84-94,3.7,0,0,0,0,0,0,0,4.14,0,0,0
 96-106,1.14,0,0,0,1.15,0,2.15,0,2.67,0,0,0
108-118,10.21,0,0,0.48,0,0.94,10.03,0,1.29,0.56,0,0
120,4.39,0,0,0,0,0,0,0,0,0,1.17,0
