stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.42,1073.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.03,0,0,0,0,0,0,0
  5-6,44.84,540.61,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,42.77,0,0,0,0,0,6.27,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.14,0,0,0,21.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,22.22,0,0,0,0,0,0
 14-21,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,1.01,1.48,0,0,0,0,24.3,0,0,0,0,0,0,0
 24-34,0,0,0.61,0,11.53,0,0,1.56,0,0,0,0,0,0,0,1.21,6.18,0,0,14.88,0,5.9,2.55,0,1.7,24.77,0,0,0,0,0,117.98,0,6.74,0,0,0,0,0.75
 36-46,0,0,0,0,14.59,0.64,0,3.39,0,5.75,0,0.84,0,0,0,0,0.71,0,0,0,4.68,5.62,8.96,0,0.63,46.25,0,14.19,0,0,0,177.76,0,3.93,0,0,1.63,0,1.46
 48-58,0,0,0,0,10.79,0,0,9.99,0,5.65,0.69,7.47,0.49,1.18,0,1.85,0.85,0,0.5,5.02,4.35,7.52,1.33,0,0.83,40.9,0,6.89,0,0,0,118.53,0,4.36,0,0,2.64,0,6.01
 60-70,0,0,0.62,0,30.52,0,0,29.15,0,0,0.86,28.51,0.61,0.89,0,5.65,1.27,0,0,1.41,0,8.13,1.89,0,1.51,64.47,3.57,9.02,0.62,0,0,114.44,0,7.66,0.81,0,2.68,0,20.87
 72-82,0,0,1.8,0,43.12,4.93,0,24.96,0,4.8,10.04,40.53,17.38,1.15,0,6.3,4.32,6.34,1,0,0,25.95,4.81,0,1.76,82.42,0,26.88,1.74,0,0,68.87,0.53,0,3.34,0,7.08,2.3,15.06
 84-94,0,0,0,0,78.11,1.29,0,32.02,0,6.85,2.63,17.78,26.28,0.6,1.16,7.75,5.4,0,0.73,0.71,0.72,23.12,10.37,4.67,2.49,45.62,0,15.25,7.1,0,0,183.5,0.74,2.7,8.51,0,14.29,0,0
 96-106,0,0,5,0,127.31,0,4.05,32.92,0.87,1.87,1.1,50.24,53.91,0,1.61,11.54,10.7,0,1.37,8,0.68,30.4,8.15,0,0,88.77,0,32.24,4.93,0,0,161.7,0,12.94,31.54,1.35,8.55,0.59,11.15
108-118,0,0,2.43,1.22,128.79,1.73,0,22.41,0,9.69,0,38.61,64.39,0,0,15.54,17.71,0.51,0.95,7.47,0.66,33.72,5.23,1.4,0.47,111.04,0,11.96,3.94,0,7.71,147.26,0.66,0,37.59,0,8.58,2.89,9.26
120,0,0,7.45,0,121.27,0,0,4.25,0,4.87,0,31.43,52.45,0,0,10.44,2.21,1.11,3.84,2.59,0,55.34,6.64,1.45,0,102.54,0,8.45,5.98,0,0,113.66,0,0,17.61,0,0,5.66,0
