stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,taste,vascular_smooth_muscle,xanthophores
 14-21,4.71,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,11.89,0,2.06,0,0.9,0,1,0,0,0,0,2.73,0,1.87,0.68,0,0,0
 36-46,18.12,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0
 48-58,9.12,5.1,3.54,0,0,0,0,0,0,0.42,0,5.08,0,2.54,0.52,0,0,0
 60-70,20.17,21.31,18.86,0,1.19,0,0,0,0,5.71,0,2.65,0,1.58,3.97,0,0,0
 72-82,3.25,29.74,5.01,0,0,0,0,0.75,0,0,0.71,12.61,1.13,3.33,0,0.5,0.51,0
 84-94,44.5,40.35,12.89,0,1.2,0,0,1.49,0,1.13,0,0.92,0,23.13,0,4.15,0,7.91
 96-106,17.89,54.06,11.34,0,0,0,0,0.77,0,3.37,0,1.62,0.81,16.15,0,0,0,0
108-118,39.93,7.3,26.83,0.65,0,3.94,0,0.43,0.43,0,0.48,13.44,0.75,22.77,0,1.52,0,0
120,42.78,26.44,9.26,0,11.29,0,0,0,5.65,0,1.05,11.35,4.24,1,0,0,0,0
