stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,23.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.17,35.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.54,0,0,0,10.46,0,0,0,0,0,0,0,12.2,0,0,0,16.17,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,41.26,9.86,0,0,5.9,0,0,0,0,0,0,0,0
 14-21,0,0,10.75,0,0,0,0,0,2.16,5.37,0,0,0,0,0,0,0,10.03,10.85,0,0,0,0,0,18.35,0,0,0,0,0
 24-34,0,0,7.92,1.32,0,0,0.99,1.64,0,5.3,0,0.77,0,1.06,0,0,0,35.58,1.51,0,0,0,0.65,0,33.24,0,0,2.11,0,0
 36-46,0,0,4.81,0,0,2.35,0,0,0,0,0,0,0,0.72,0,0,0,57.64,5.03,0,0,0,0,0,54.74,0,0,4.07,0,0
 48-58,0,0,1.75,0,0,14.16,0,1.25,0,13.08,0,0,0,1.16,0.4,0,0.75,54.41,0,0,0,0,2.37,0,46.25,0,0,2.41,0,0
 60-70,0,0,0.95,0,0,58.86,0,0.72,0,3.17,0,0,0,0.58,0,0,0,24.73,0,0,0,0,0,0,3.6,0,0,0.59,0,0
 72-82,0,0,8.8,1.13,0,171.59,0,4.14,2.23,3.06,0.98,0,0,19.26,0,0,0.84,64.03,0,0,1.48,0,0,0.49,14.95,0,5.25,4.41,0.73,0
 84-94,0,0,16.08,10.3,0,126.35,1.75,6.77,4.07,16.88,0,0,0,2.24,0,0,1.93,33.39,0,0,0,0,11.6,0,12.91,0,0,16.33,0,0
 96-106,0,0,14.31,1.01,0,188.74,0,3.18,2.07,2.38,0,0,0,1.52,7.39,1.25,0,82.12,0,0,2.26,0,0.71,0,16.99,4.72,0,10.27,1.59,0.8
108-118,0,0,18.88,7.93,0.66,167.5,0,19.21,4.77,0,0,0,2.5,9.19,0,0,0,119.88,0,1.82,0,0,1.79,0,6.7,4.4,0,10.06,5.66,0
120,0,0,5.01,0,0,163.23,0,19.78,0,0,0,0,0,0,0,0,0,223.68,1.8,0,0,0,0,0,0,0,0,45.6,5.34,0
