stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,10.19,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,18.81,0,0,0
  7-9,0,5.36,4.19,0,0,9.2,0,0,6.44,0,0,0,47.75,0,45.59,0,0,0,0
 10-12,0,0,0,0,0,15.03,0,0,0,0,0,0,70.55,5.72,62.87,0,0,0,0
 14-21,0,0,0,6.41,1.78,1.81,1.25,0.96,0,0.92,2.2,0,14.76,0,0,1.15,1.03,3.88,3.03
 24-34,0,0,0,0,0,0.95,0,0,0,0,1.72,2.84,8.62,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.59,0.66,0,0,0,0,0,1.42
 48-58,0,0,0,0,0,0.97,0,0,2.63,0,0,0,0,0,0,0,0,0,1.6
 60-70,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.71,0,0,0,0,6.28,0,1.35,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.93,0,0,0,0.62,0,3.64,0,0,0,0,0,0
