stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.79,0,0,0,0,0,0,0,8.76,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.25,6.58,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,3.14,0,0,0,1.68
 36-46,0,0,0,0,0,0,0,0,0,0,1.5,1.92,0,0,5.33,0,0,0,0
 48-58,0,0.91,0,0.61,0,0,0,0,0,0,0,0.91,0,2.25,10.7,0,0,0.45,0
 60-70,0,0,0,1.06,0,1.38,0,0,0.58,0,3.03,0,0,1.19,56.5,0,0,0,0
 72-82,0,8.77,2.6,0,0,0,0,0,0,3.06,10.29,8.86,0,0.49,49.18,0,0,0,0
 84-94,0,0.68,0,0,0,0,0,0,0,0,4.09,2.45,0,2.43,130.85,0,7.99,0,0
 96-106,0,31.61,0,5.77,1.33,0,2.13,1.06,0,1.08,31.9,27.29,0,3.67,171.61,0.9,0,0,0
108-118,0,22.1,0,0,0.7,1.53,0,0,2.64,1.59,12.03,9.09,0,4,120.22,0,0,0,0
120,0,24.99,0,0,2.7,0,12.17,0,2.77,11.02,3.05,15.27,0,3.25,100.04,0,0,0,0
