stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,19.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,0,0,4.5,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,20.81,0,0,0,5.01,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.07,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,25.61,0,0,0,10.45,0,0,0,10.34,0,0,0,0,0
 14-21,0,0,0,0,1.02,2.36,0,0,0,0,0,0.97,0,0,0,1.02,0,8.11,0,0,4.76,29.52,0,0,0.94,0,0,0,4.25,0.91,2.98,4.15,0,0,0
 24-34,0,0,0,1.31,0,2.6,0,0.63,0,0,0,0,0,0,0,0,0,7.41,0,0,4.94,85.57,53.95,0,0.74,0,0,4.09,0,0,1.85,5.02,0,2.37,0
 36-46,0,0,0,30.75,0,5.46,0,0,0,0,0,0.82,0,0,0,0,0,28.02,0,0,1.14,148.09,28.93,0,0,0,0,0.64,0,0,0,8.19,0,0,10.3
 48-58,0,0,0,24.11,0,22.77,0,3.2,6.76,1.15,0,0,0.52,0.39,0,0,0,33.83,0,1.42,0.9,155,64.47,0,0,0,0,19.36,0,0,0,9.27,0,1.55,2.08
 60-70,0,0,0,5.53,0,60.86,0,0,4.43,0,0,0,0,0,0,0,0,18.1,0,1.6,2.63,25.07,41.25,0,0,0,0,0,0,0,0,0,0,4,0
 72-82,0,0,0.89,1.32,4.09,17.68,3.46,0,5.24,0,0,0,1.84,0,0.81,1.19,0,13.82,0,1.1,8.97,48.78,8.54,0,0,0,2.91,1.63,0,0,0,3.37,0,2.31,0
 84-94,0,0,0,2.15,0,38.18,0,2.2,0.55,0,0,0,3.37,1.69,0,0,1.55,34.68,0,0.57,0.6,40.72,21.51,0,0,0,0,5.68,0,1.84,0,0,1.98,0,0
 96-106,0,0,0,78.5,4.45,51.24,0,0,1.41,0.93,0,0,11.46,0,0,54.21,0,71.39,1.66,0,3.62,19.76,42.05,3.4,1.01,0,0,1.68,0,0,0,5.16,3.05,3.38,4.45
108-118,0,0,0.68,121.41,0,58.94,0.9,2.68,4.47,0.67,0,0,2.46,0,0,0,0,14.11,0,0.79,2.04,72.84,4.65,0,0,0,0,2.86,0,0,0,0.87,15.79,0.47,0
120,0,0,0,12.48,10.14,1.29,2.09,0,0,1.88,0,0,9.79,1.11,1.62,0,0,47.96,0,0,2.54,225.49,42.21,0,0,0,0,7.43,0,0,0,7.63,0,21.57,0
