stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.43,191.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.49,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,1.35,4.84,0,0,0,0,0,1.29,0,1.07,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,9.42,0,0,0,0,0,0,0,0,0,4.21,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.95,0,0.56,0,0,0,0,1.4,0,0,0,14.76,0,0,0,0,0,0,0,3.1,0,1.78,0,0
 48-58,0,0,0,0,0,0,0,0,0,4.84,0,6.43,0,0,3.72,0,3.6,0.74,0,0,21.88,0,0.48,0,0,0,0,0,3.05,0,4.33,0,0
 60-70,0,0,0,0,0,0,3.01,0,0,1.09,0,1.62,0,0,0,0,3.38,0,10.18,2.69,21.92,0,0,0,0.92,0,0,0,5.61,0,3.51,0,0.79
 72-82,0,0,0,0,0,0,12.6,0,0,4.78,0,11.82,0,0,0,0,8.18,1.06,1.12,0,30.42,0,1.21,0,5.4,0,0,0,11.94,0.67,6.32,0,0
 84-94,0,0,0,1.94,0,0,9.65,0,0,4.23,0,8.75,0,0,0,0,3.2,0,0.82,0,21.71,0,1.13,0,18.41,0,0,0,1.49,0,16.86,0,0
 96-106,0,0,0,7.27,7.86,0.92,6.41,0,0,1.76,0.59,19.12,1.46,0,0,4.28,25.21,0,9.14,4.18,44.24,0,1.8,0.91,28.96,0,0,0,0,0,3.64,3.74,9.11
108-118,0,0,0,9.29,2.1,1.13,8.85,3.17,0.62,8.53,2.04,17.36,3.5,1.27,1.97,0,22.33,0,2.92,1.14,37.28,0,2.12,0,33.03,0.48,0,0.43,7.3,0,8.65,0.6,4.03
120,0,0,0,10.29,0,0,8.64,1.11,0,10.4,2.52,17.35,4.66,3.86,0,0,8.76,0,15.97,4.41,38.65,3.25,0,3.16,74.04,0,0,0,8.35,0,9.4,0,0
