stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,35.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.63,0,0,0,0,0,8.84,0,0,687.6,0,0,0,0,0,13.37,0,0,0,0,0,0,0
 10-12,0,0,4.69,0,15.53,0,0,0,0,1003.87,0,0,0,0,0,77.57,9.87,0,4.11,0,0,7.87,0
 14-21,0,1.24,0,0,0,0,0,0,0,110.26,0,0,0,2.94,0,2.79,0,0,0,4.39,1.62,0,3.38
 24-34,0,5.46,0,0,1.68,0,0,0,0,8.91,0,0,0,0,5.51,5.07,0,0,0,0,0,0.79,0
 36-46,0,2.85,0,0,0,0,1.15,1.73,0,3.28,0,0,0,0,2.33,1.38,0,0,0,0,0,0.74,0
 48-58,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0.99,0,0,0,0,0,0.62,0.38
 60-70,0,1.2,0,4.88,0,0,1.1,0,0.57,0,0,0,0,0,3.91,0,0,0.71,0,0,0,0,0
 72-82,0,2.15,0,0,0,3.8,0,0,3.79,0,0,0,0,0,1.42,2.37,0,0,0,0,0,0,0
 84-94,0,5.8,0,0,0,2.25,0.77,0,2.2,1.23,0,1.68,1.48,0,0,0.72,0,0,0,0,0,0,0
 96-106,0,3.75,0,0.91,0,2.38,0,0,2.6,0,0.89,0,0,0,2.34,0,0,0,0,0,0,0,0
108-118,0,1.93,0,0,1.13,15.5,0,0,3.72,0,0,0,0,0,7.98,0.54,0,0,0,0,0,0,0
120,0,0,0,2.55,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
