stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.2,168.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,156.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22,0,0,0,0,23.29,0,0,0,0,0,0,0,0,0,0
  7-9,16.43,17.43,0,38.39,0,0,94.57,0,0,0,16.28,0,0,0,0,0,0,0,0,0,0,347.54,15.06,0,0,199.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.04,0,16.4,0,0,100.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.64,19.26,0,0,206.69,0,6.56,0,23.67,0,4.33,0,0,0,0,0
 14-21,0,0,0,1.33,9.7,0.82,3.51,0,7.26,0,0,0,0,0,0,0,0,7.13,0,0,1.89,61.91,0,1.44,0,0,0,0,17.21,1.72,9.49,30.26,0,0,1.01,0,0
 24-34,0,0,0,0,3.24,0,7.77,0,6.54,2.37,0,0,0,0.63,0,0.63,0,7.63,0,0,5.38,135.92,0,5.13,0.68,0,0,0,0,2.58,3.79,40.03,0,0,3.57,0,0
 36-46,0,0,0,0,0,1.12,23.23,0.8,3.76,0,0,0,0,0,0,0,0,27.3,0,0,3.91,137.59,0.62,7.29,1.3,0,0,0,0,1.95,0,31.47,0,0,0,0,0
 48-58,0,0,0,0,5.3,0,45.79,0,18.03,0,0,0,0,0,0,1.64,0,17.78,0,0.81,4,106.86,0,0.88,2.22,0,0.8,0,0,0,0,27.57,0,0,1.48,0,0
 60-70,0,0,0,0,5.28,0,130.29,0,7.99,0,0,2.11,0,0,0,0,0,23.49,0,0,4.3,121.42,0,2.9,2.07,0,6.53,0,0,0,0,24.48,0,1.06,2.96,0,0
 72-82,0,0,0.61,0,1.27,0,121.21,1.14,8.45,0.7,0,0,0,0,0,0,1.2,19.23,0,0,1.44,87,2.7,1.85,0,0,1.29,0,0,0,0,3.23,0,0,0.66,2.5,0
 84-94,0,0,0,0,1.01,5.47,156.52,0,18.78,0,0,0,1.41,0,0,0,0,23.9,0.61,0.96,2.08,92.77,0,2.35,0.59,0,0,0,0,0,0,3.46,0,0,0.86,1.26,2.81
 96-106,0,0,1.07,0,1.52,0,111.17,0,6.71,1.15,0,0,0,0,0.71,0,0,17.74,0,0,0,65.68,0,2.85,3.4,0,0,0,0,0,0,4.06,0,0,1.05,0.81,0
108-118,0,0,0,0,4.34,0,93.65,0,3.23,0,0,0,0,0,0.95,0,0,23.61,0,3.19,0.56,39.03,0,0.45,0,0,0,0,0,0.42,0,3.51,1.21,0,0,0,0
120,0,0,0,0,3.12,0,68.58,0,10.66,0,0,0,0,0,0,0,0,16.75,0,0,0,71.82,0,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0
